company_name,high,low,last_price,prev_close,change,percent_gain
Chennai Petro,781.00,713.80,771.15,712.40,58.75,8.25
Mastek,"2,560.00","2,403.30","2,548.60","2,422.70",125.90,5.2
Sapphire Foods,355.00,329.80,336.75,320.55,16.20,5.05
Sapphire Foods,355.00,329.80,336.75,320.55,16.20,5.05
BPCL,347.70,331.90,346.20,331.50,14.70,4.43
Bosch,"36,020.00","34,330.00","35,930.00","34,405.00","1,525.00",4.43
Kirloskar Bros,"2,420.00","2,221.00","2,333.00","2,242.60",90.40,4.03
CreditAccess Gr,"1,354.80","1,250.10","1,290.50","1,241.00",49.50,3.99
Niva Bupa Healt,85.77,81.81,85.05,81.97,3.08,3.76
Engineers India,245.70,233.80,243.00,234.78,8.22,3.5
Devyani Int,174.80,166.46,172.96,167.19,5.77,3.45
Raymond Life,"1,315.00","1,240.10","1,283.60","1,240.80",42.80,3.45
KPR Mill,"1,195.00","1,143.20","1,189.60","1,150.20",39.40,3.43
Dr Lal PathLab,"2,859.00","2,747.60","2,849.00","2,756.70",92.30,3.35
GE Shipping,"1,039.95","1,005.20","1,033.00",999.95,33.05,3.31
Vedant Fashions,848.00,797.00,827.50,801.10,26.40,3.3
Mankind Pharma,"2,462.50","2,361.70","2,439.50","2,361.70",77.80,3.29
Aurobindo Pharm,"1,197.00","1,158.60","1,191.30","1,156.10",35.20,3.04
IGL,229.00,217.11,226.10,219.47,6.63,3.02
Cohance Life,"1,049.90",990.90,"1,036.50","1,007.40",29.10,2.89
Info Edge,"1,488.80","1,446.00","1,486.40","1,445.20",41.20,2.85
Neuland Lab,"12,104.00","11,630.00","11,999.00","11,668.00",331.00,2.84
Ola Electric,42.59,40.46,41.73,40.61,1.12,2.76
Glenmark,"1,843.30","1,775.00","1,830.40","1,783.50",46.90,2.63
Craftsman,"6,368.50","5,730.00","5,903.00","5,753.00",150.00,2.61
Karur Vysya,273.50,262.20,271.50,264.60,6.90,2.61
Natco Pharma,"1,002.90",965.70,998.60,973.60,25.00,2.57
IOC,151.99,147.86,151.62,147.87,3.75,2.54
IGIL,384.80,372.40,381.35,372.05,9.30,2.5
IIFL Finance,476.60,458.10,474.85,463.50,11.35,2.45
Ajanta Pharma,"2,710.00","2,623.20","2,695.50","2,631.50",64.00,2.43
Zee Entertain,151.70,144.01,147.38,143.94,3.44,2.39
Aditya Birla F,79.10,76.09,78.33,76.56,1.77,2.31
Laurus Labs,777.90,756.65,776.00,758.55,17.45,2.3
Mahanagar Gas,"1,586.90","1,505.00","1,542.40","1,508.00",34.40,2.28
Balkrishna Ind,"2,622.20","2,550.10","2,607.90","2,550.30",57.60,2.26
MRPL,154.00,146.35,150.87,147.62,3.25,2.2
Marico,744.45,725.20,728.60,713.35,15.25,2.14
Brigade Ent,"1,078.90","1,043.60","1,073.30","1,051.20",22.10,2.1
Cochin Shipyard,"2,073.90","2,031.00","2,057.30","2,015.40",41.90,2.08
Cochin Shipyard,"2,073.90","2,031.00","2,057.30","2,015.40",41.90,2.08
Metropolis,"1,789.90","1,735.10","1,773.30","1,737.90",35.40,2.04
Welspun Living,145.00,141.31,144.46,141.62,2.84,2.01
Phoenix Mills,"1,550.00","1,515.20","1,542.20","1,512.50",29.70,1.96
Radico Khaitan,"2,673.00","2,587.00","2,630.90","2,581.40",49.50,1.92
Inox Wind,181.00,176.00,179.98,176.64,3.34,1.89
Godrej Consumer,"1,198.80","1,170.10","1,192.90","1,171.20",21.70,1.85
HINDPETRO,446.55,436.15,444.60,436.60,8.00,1.83
Krishna Inst.,700.00,673.75,686.05,673.75,12.30,1.83
Krishna Inst.,700.00,673.75,686.05,673.75,12.30,1.83
ICICI Prudentia,659.40,645.45,650.95,639.90,11.05,1.73
Vijaya Diagnost,"1,026.00",993.15,"1,020.50","1,003.15",17.35,1.73
Godrej Prop,"2,314.00","2,263.40","2,304.00","2,266.10",37.90,1.67
Bajaj Finance,940.70,919.00,925.30,910.15,15.15,1.66
Fortis Health,809.40,795.05,807.05,794.05,13.00,1.64
GMR Airports,90.06,88.36,89.91,88.47,1.44,1.63
BEML,"4,655.00","4,488.00","4,524.80","4,453.10",71.70,1.61
Ramco Cements,"1,095.90","1,072.90","1,092.40","1,075.70",16.70,1.55
Mah Seamless,758.00,734.30,748.85,737.45,11.40,1.55
SUMITOMO,539.80,521.85,536.05,527.85,8.20,1.55
Asahi India,854.80,820.20,847.85,835.10,12.75,1.53
360 ONE WAM,"1,253.90","1,192.30","1,245.40","1,226.60",18.80,1.53
360 ONE WAM,"1,253.90","1,192.30","1,245.40","1,226.60",18.80,1.53
Biocon,381.00,372.70,380.05,374.45,5.60,1.5
Jaiprakash Pow,19.09,18.52,18.95,18.67,0.28,1.5
MphasiS,"2,927.90","2,882.90","2,924.20","2,882.80",41.40,1.44
Sundram,"1,075.00","1,050.00","1,070.30","1,055.10",15.20,1.44
CG Power ,679.90,669.25,676.60,667.45,9.15,1.37
CG Consumer,356.30,350.15,355.05,350.25,4.80,1.37
Infosys,"1,643.40","1,612.30","1,640.70","1,618.70",22.00,1.36
Triveni Turbine,649.90,628.55,645.65,637.05,8.60,1.35
JK Bank,114.50,112.20,114.24,112.73,1.51,1.34
Lupin,"1,996.00","1,957.00","1,980.90","1,954.80",26.10,1.34
Trident,31.48,30.76,31.24,30.83,0.41,1.33
Alkem Lab,"4,898.90","4,824.30","4,886.30","4,822.00",64.30,1.33
Poonawalla Fin,483.40,467.00,472.55,466.40,6.15,1.32
Hindustan Aeron,"5,020.00","4,943.80","4,993.20","4,931.20",62.00,1.26
Hindustan Aeron,"5,020.00","4,943.80","4,993.20","4,931.20",62.00,1.26
Jyoti CNC Auto,"1,051.80","1,025.00","1,035.90","1,023.00",12.90,1.26
Mazagon Dock,"3,369.00","3,308.20","3,329.00","3,287.60",41.40,1.26
Mazagon Dock,"3,369.00","3,308.20","3,329.00","3,287.60",41.40,1.26
Dr Reddys Labs,"1,313.00","1,287.20","1,307.40","1,291.30",16.10,1.25
Dr Reddys Labs,"1,313.00","1,287.20","1,307.40","1,291.30",16.10,1.25
Bharat Forge,"1,318.00","1,291.20","1,314.50","1,298.70",15.80,1.22
Varun Beverages,456.70,449.30,456.15,450.70,5.45,1.21
Varun Beverages,456.70,449.30,456.15,450.70,5.45,1.21
Varun Beverages,456.70,449.30,456.15,450.70,5.45,1.21
LT Technology,"4,407.00","4,330.00","4,383.60","4,331.60",52.00,1.2
Ambuja Cements,601.75,588.75,595.75,588.75,7.00,1.19
ICICI Bank,"1,444.40","1,421.10","1,442.80","1,425.90",16.90,1.19
Tube Investment,"2,994.90","2,938.00","2,988.00","2,952.80",35.20,1.19
Navin Fluorine,"4,949.00","4,840.00","4,933.20","4,875.50",57.70,1.18
Page Industries,"49,125.00","48,010.00","48,710.00","48,145.00",565.00,1.17
LT Finance,209.85,202.10,205.63,203.29,2.34,1.15
HUL,"2,341.40","2,310.30","2,339.30","2,313.40",25.90,1.12
Jubilant Ing.,791.00,773.25,788.30,779.60,8.70,1.12
Wipro,271.40,267.50,270.05,267.05,3.00,1.12
Swan Energy,452.10,440.80,446.30,441.40,4.90,1.11
Garden Reach Sh,"3,038.00","2,955.00","2,973.90","2,942.10",31.80,1.08
Techno Electric,"1,594.00","1,545.10","1,575.50","1,558.70",16.80,1.08
Atul,"7,715.00","7,551.50","7,636.00","7,555.50",80.50,1.07
Bajaj Housing,124.00,121.90,122.39,121.10,1.29,1.07
Sonata,411.70,404.80,410.50,406.15,4.35,1.07
Muthoot Finance,"2,670.00","2,616.10","2,662.80","2,635.10",27.70,1.05
Hitachi Energy,"20,245.00","19,740.00","19,965.00","19,760.00",205.00,1.04
Star Health,425.15,416.55,423.25,418.90,4.35,1.04
SignatureGlobal,"1,258.00","1,235.10","1,249.80","1,236.90",12.90,1.04
Torrent Pharma,"3,388.90","3,330.00","3,368.00","3,334.10",33.90,1.02
BHEL,263.35,258.15,260.15,257.60,2.55,0.99
Firstsource Sol,373.05,368.00,371.75,368.10,3.65,0.99
Union Bank,153.70,151.36,153.09,151.59,1.50,0.99
Amara Raja,984.00,959.20,968.25,958.95,9.30,0.97
PTC Industries,"14,981.00","14,700.00","14,898.00","14,755.00",143.00,0.97
Hindalco,700.75,689.40,699.45,692.85,6.60,0.95
Welspun Corp,934.85,915.00,931.25,922.50,8.75,0.95
AU Small Financ,820.90,807.00,819.50,811.85,7.65,0.94
Kirloskar Oil,865.00,841.90,855.45,847.65,7.80,0.92
AB Capital,277.35,272.75,275.05,272.60,2.45,0.9
Oracle Fin Serv,"9,124.00","8,960.00","9,109.00","9,030.00",79.00,0.87
UltraTechCement,"12,542.00","12,341.00","12,506.00","12,398.00",108.00,0.87
Aegis Logistics,757.65,745.20,754.05,747.60,6.45,0.86
Dixon Technolog,"15,282.00","14,929.00","15,202.00","15,074.00",128.00,0.85
Kajaria Ceramic,"1,152.10","1,138.30","1,150.30","1,140.60",9.70,0.85
