company_name,high,low,last_price,prev_close,change,percent_gain
Garden Reach Sh,"1,641.35","1,372.00","1,641.35","1,367.80",273.55,20
Tanla Platforms,528.90,451.00,520.60,442.90,77.70,17.54
HBL Eng,496.15,421.00,482.40,418.75,63.65,15.2
KNR Construct,249.80,219.05,243.26,217.92,25.34,11.63
Techno Electric,"1,087.45",944.95,"1,032.35",930.75,101.60,10.92
Mazagon Dock,"2,648.00","2,375.00","2,625.25","2,376.50",248.75,10.47
Mazagon Dock,"2,648.00","2,375.00","2,625.25","2,376.50",248.75,10.47
Jaiprakash Pow,15.07,13.50,14.75,13.38,1.37,10.24
G R Infra,"1,075.00",982.00,"1,026.10",940.65,85.45,9.08
Cochin Shipyard,"1,474.95","1,342.35","1,456.70","1,340.90",115.80,8.64
Cochin Shipyard,"1,474.95","1,342.35","1,456.70","1,340.90",115.80,8.64
RITES,232.85,212.20,228.65,212.03,16.62,7.84
Balrampur Chini,560.00,512.95,539.90,503.75,36.15,7.18
PB Fintech,"1,561.90","1,451.10","1,555.75","1,454.00",101.75,7
NMDC Steel,36.40,33.99,35.90,33.56,2.34,6.97
Max Healthcare,"1,091.45","1,025.00","1,087.45","1,016.95",70.50,6.93
Shipping Corp,159.19,148.50,157.69,147.50,10.19,6.91
JSW Infra,288.65,270.25,287.30,269.15,18.15,6.74
BEML,"2,762.00","2,570.00","2,742.30","2,570.35",171.95,6.69
HUDCO,201.66,188.00,201.08,188.62,12.46,6.61
Ircon Internati,157.90,146.19,155.42,145.92,9.50,6.51
Ircon Internati,157.90,146.19,155.42,145.92,9.50,6.51
Olectra Greente,"1,139.90","1,070.00","1,127.55","1,059.20",68.35,6.45
ABSL AMC,639.80,597.00,632.90,595.15,37.75,6.34
Bharat Dynamics,"1,223.05","1,128.00","1,198.00","1,126.80",71.20,6.32
Bharat Dynamics,"1,223.05","1,128.00","1,198.00","1,126.80",71.20,6.32
Rail Vikas,361.95,334.00,353.65,333.15,20.50,6.15
Sterling Wilson,249.95,229.10,241.15,227.25,13.90,6.12
Prestige Estate,"1,209.00","1,133.00","1,200.75","1,132.50",68.25,6.03
Sun TV Network,637.00,575.75,612.30,577.95,34.35,5.94
BSE Limited,"4,413.25","4,155.50","4,392.45","4,146.70",245.75,5.93
CAMS,"3,830.00","3,619.10","3,815.95","3,602.20",213.75,5.93
TITAGARH,763.30,711.60,752.60,710.50,42.10,5.93
Angel One,"2,231.00","2,095.55","2,215.35","2,091.95",123.40,5.9
Praj Industries,567.00,530.00,563.65,532.25,31.40,5.9
Macrotech Dev,"1,190.40","1,113.50","1,177.45","1,112.10",65.35,5.88
Syrma SGS,486.40,445.25,468.60,442.65,25.95,5.86
Trident,26.19,24.60,25.92,24.49,1.43,5.84
Poonawalla Fin,325.00,309.15,323.60,306.25,17.35,5.67
