company_name,high,low,last_price,prev_close,change,percent_gain
ITI,332.95,297.00,325.15,297.25,27.90,9.39
Gravita India,"1,859.90","1,686.60","1,831.90","1,704.20",127.70,7.49
Asahi India,"1,074.00",980.00,"1,052.65",983.35,69.30,7.05
Inventurus Know,"1,692.80","1,581.60","1,677.50","1,568.00",109.50,6.98
Honeywell Autom,"37,750.00","34,150.00","36,265.00","34,135.00","2,130.00",6.24
Swiggy,410.70,378.00,404.60,385.45,19.15,4.97
Jyoti CNC Auto,"1,055.90",994.95,"1,039.40",992.15,47.25,4.76
JSW Holdings,"18,190.00","17,016.00","18,147.00","17,324.00",823.00,4.75
ACC,"1,987.00","1,807.20","1,913.70","1,830.10",83.60,4.57
MM Financial,359.85,341.10,357.55,342.55,15.00,4.38
Clean Science,963.00,908.20,954.40,916.50,37.90,4.14
Sundram,994.30,946.00,987.40,951.70,35.70,3.75
Rail Vikas,329.95,312.60,324.85,314.00,10.85,3.46
NBCC (India),118.90,112.66,116.47,112.61,3.86,3.43
APTUS VALUE,292.00,275.10,286.40,277.05,9.35,3.37
City Union Bank,273.19,262.01,271.45,262.73,8.72,3.32
Apollo Tyres,538.00,511.55,528.15,512.40,15.75,3.07
PTC Industries,"18,043.00","17,040.00","17,760.00","17,236.00",524.00,3.04
Afcons Infra,404.00,391.20,401.35,390.55,10.80,2.77
Campus Active,268.90,257.50,268.00,260.90,7.10,2.72
Aster DM Health,672.70,648.00,667.85,650.20,17.65,2.71
Castrol,195.00,188.20,194.01,189.02,4.99,2.64
Sai Life Sci,894.45,846.05,883.75,861.35,22.40,2.6
Poly Medicure,"2,024.00","1,877.00","1,925.50","1,876.90",48.60,2.59
KPIT Tech,"1,210.60","1,165.10","1,198.20","1,168.90",29.30,2.51
Authum Invest,"2,784.60","2,616.00","2,737.00","2,671.60",65.40,2.45
CreditAccess Gr,"1,396.00","1,353.70","1,392.30","1,359.20",33.10,2.44
AAVAS Financier,"1,705.20","1,612.70","1,669.60","1,632.20",37.40,2.29
Tech Mahindra,"1,513.80","1,461.80","1,494.70","1,461.50",33.20,2.27
Waaree Energies,"3,324.90","3,087.70","3,257.40","3,185.70",71.70,2.25
Redington,299.50,288.10,291.00,284.80,6.20,2.18
Vijaya Diagnost,"1,039.30",982.05,"1,029.00","1,007.40",21.60,2.14
Timken,"3,155.00","3,044.50","3,134.40","3,070.40",64.00,2.08
Gillette India,"8,465.00","8,276.50","8,445.50","8,276.50",169.00,2.04
Vishal Mega Mar,136.86,128.57,133.59,130.92,2.67,2.04
Happiest Minds ,513.50,491.70,506.90,496.90,10.00,2.01
Inox India,"1,178.70","1,135.60","1,173.20","1,150.10",23.10,2.01
MRF,"157,450.00","151,810.00","155,455.00","152,435.00","3,020.00",1.98
Sagility,49.78,48.25,49.41,48.47,0.94,1.94
Global Health,"1,259.60","1,218.60","1,250.50","1,226.90",23.60,1.92
