company_name,high,low,last_price,prev_close,change,percent_gain
Ola Electric,63.79,54.50,62.48,54.05,8.43,15.6
Kaynes Tech,"6,631.00","6,150.00","6,600.00","6,123.00",477.00,7.79
Aditya Birla F,83.99,76.43,83.35,77.35,6.00,7.76
Guj Mineral,435.00,401.60,431.40,403.85,27.55,6.82
eClerx Services,"4,528.70","4,188.60","4,496.80","4,221.30",275.50,6.53
Chennai Petro,692.00,642.00,687.05,645.40,41.65,6.45
Tube Investment,"3,152.00","2,950.00","3,140.90","2,961.60",179.30,6.05
RITES,260.00,245.85,258.48,243.95,14.53,5.96
Garden Reach Sh,"2,499.00","2,358.10","2,485.00","2,351.70",133.30,5.67
MCX India,"7,819.50","7,438.00","7,793.00","7,390.00",403.00,5.45
Dixon Technolog,"17,642.00","16,770.00","17,582.00","16,690.00",892.00,5.34
Gujarat Gas,446.45,419.05,441.85,419.45,22.40,5.34
Manappuram Fin,275.85,262.25,275.00,261.45,13.55,5.18
Amber Enterpris,"7,648.00","7,268.00","7,631.00","7,267.50",363.50,5
KFin Tech,"1,077.00","1,027.10","1,070.20","1,021.20",49.00,4.8
MphasiS,"2,932.80","2,808.00","2,921.50","2,788.00",133.50,4.79
Granules India,524.80,492.45,515.80,492.25,23.55,4.78
Swiggy,430.00,413.25,428.50,409.75,18.75,4.58
Inox India,"1,176.00","1,115.60","1,170.00","1,119.10",50.90,4.55
Data Patterns,"2,522.50","2,407.00","2,511.80","2,402.80",109.00,4.54
Anand Rathi,"2,948.00","2,804.40","2,920.30","2,793.90",126.40,4.52
Motilal Oswal,900.00,859.60,895.40,857.30,38.10,4.44
Mastek,"2,566.00","2,427.30","2,534.90","2,427.30",107.60,4.43
Rail Vikas,317.50,301.60,315.70,302.60,13.10,4.33
MOTHERSON,96.95,93.42,96.74,92.75,3.99,4.3
JM Financial,186.80,178.50,185.07,177.48,7.59,4.28
Premier Energie,"1,042.00",994.05,"1,036.35",994.10,42.25,4.25
TBO Tek,"1,366.90","1,296.50","1,361.00","1,307.30",53.70,4.11
IGIL,347.55,333.10,346.30,332.65,13.65,4.1
PG Electroplast,559.40,542.10,554.95,533.10,21.85,4.1
