company_name,high,low,last_price,prev_close,change,percent_gain
Sun Pharma Adv,241.00,214.30,230.71,211.97,18.74,8.84
Five-Star Busin,715.00,642.60,704.85,648.80,56.05,8.64
Avanti Feeds,673.00,622.60,664.30,619.75,44.55,7.19
Oberoi Realty,"2,281.80","2,135.60","2,253.50","2,117.70",135.8,6.41
New India Assur,214.80,203.00,213.44,202.08,11.36,5.62
HUDCO,259.30,244.20,258.37,244.95,13.42,5.48
Kaynes Tech,"7,245.65","6,776.55","7,119.75","6,752.05",367.7,5.45
Sundaram Fin,"4,468.00","4,229.00","4,427.00","4,207.10",219.9,5.23
Action Const,"1,419.90","1,342.95","1,408.15","1,340.40",67.75,5.05
GE Vernova T&D,"2,026.65","1,930.00","2,026.65","1,930.15",96.5,5
Dixon Technolog,"18,870.00","18,111.00","18,831.80","17,954.40",877.4,4.89
360 ONE WAM,"1,245.00","1,184.60","1,242.40","1,186.60",55.8,4.7
360 ONE WAM,"1,245.00","1,184.60","1,242.40","1,186.60",55.8,4.7
Techno Electric,"1,525.00","1,436.00","1,509.15","1,443.80",65.35,4.53
Prestige Estate,"1,837.40","1,760.00","1,830.75","1,754.65",76.1,4.34
Affle India,"1,884.00","1,779.00","1,852.45","1,777.40",75.05,4.22
Valor Estate,182.50,170.50,178.83,171.61,7.22,4.21
Data Patterns,"2,664.85","2,543.50","2,642.80","2,541.20",101.6,4
ITI,387.35,359.50,373.00,358.70,14.3,3.99
FSN E-Co Nykaa,175.84,167.65,174.56,168.18,6.38,3.79
Mazagon Dock,"5,052.00","4,842.00","5,030.65","4,849.90",180.75,3.73
PCBL,490.00,470.00,488.25,470.70,17.55,3.73
Anant Raj,790.00,758.05,787.20,759.45,27.75,3.65
Emcure Pharmace,"1,415.00","1,359.90","1,408.80","1,359.90",48.9,3.6
Go Digit,338.95,324.05,336.20,324.65,11.55,3.56
Amber Enterpris,"6,106.00","5,780.00","5,991.50","5,787.35",204.15,3.53
Macrotech Dev,"1,484.50","1,417.45","1,467.55","1,418.05",49.5,3.49
Praj Industries,833.90,800.10,825.55,799.40,26.15,3.27
Blue Star,"2,165.00","2,084.60","2,156.65","2,088.70",67.95,3.25
Brigade Ent,"1,300.00","1,251.00","1,288.40","1,248.15",40.25,3.22
Bombay Burmah,"2,416.85","2,345.55","2,403.55","2,329.25",74.3,3.19
Ajanta Pharma,"2,900.00","2,794.70","2,896.55","2,807.45",89.1,3.17
Easy Trip,17.60,17.00,17.07,16.56,0.51,3.08
Easy Trip,17.60,17.00,17.07,16.56,0.51,3.08
Aurobindo Pharm,"1,247.30","1,220.00","1,244.70","1,208.40",36.3,3
Jyoti CNC Auto,"1,332.00","1,257.95","1,295.40","1,258.15",37.25,2.96
Chola Fin Hold,"1,562.05","1,511.00","1,553.75","1,509.60",44.15,2.92
General Insuran,447.25,431.50,442.45,430.05,12.4,2.88
MOTHERSON,169.28,164.25,168.81,164.12,4.69,2.86
Schneider Infra,873.95,838.95,858.25,834.80,23.45,2.81
Newgen Software,"1,434.95","1,390.55","1,428.90","1,390.35",38.55,2.77
Phoenix Mills,"1,832.00","1,768.50","1,824.55","1,775.30",49.25,2.77
Godrej Ind,"1,109.85","1,067.45","1,101.25","1,071.75",29.5,2.75
Tube Investment,"3,769.80","3,625.25","3,753.70","3,653.65",100.05,2.74
Campus Active,305.85,290.05,299.50,291.75,7.75,2.66
DLF,896.60,870.85,893.30,870.85,22.45,2.58
Netweb,"2,874.90","2,775.00","2,859.95","2,789.70",70.25,2.52
Alok Industries,23.70,22.73,23.34,22.78,0.56,2.46
ABB India,"7,943.75","7,689.30","7,890.35","7,703.25",187.1,2.43
Star Health,478.70,464.00,476.15,464.85,11.3,2.43
KNR Construct,358.85,346.00,347.65,339.50,8.15,2.4
Thermax,"4,919.35","4,782.30","4,904.85","4,790.95",113.9,2.38
Coromandel Int,"1,824.85","1,756.65","1,819.25","1,777.65",41.6,2.34
TBO Tek,"1,704.95","1,656.95","1,673.70","1,635.60",38.1,2.33
One 97 Paytm,"1,013.05",977.05,"1,007.05",984.25,22.8,2.32
TITAGARH,"1,370.00","1,296.05","1,337.50","1,307.55",29.95,2.29
Sun TV Network,742.95,723.05,739.20,722.95,16.25,2.25
Mahindra Life,497.50,479.45,490.20,479.45,10.75,2.24
Gujarat Gas,521.90,507.85,519.65,508.30,11.35,2.23
Zee Entertain,138.70,132.76,135.69,132.73,2.96,2.23
Glenmark,"1,563.40","1,502.30","1,551.35","1,518.15",33.2,2.19
Kalyan Jeweller,765.35,748.35,763.25,747.10,16.15,2.16
Ipca Labs,"1,570.15","1,534.00","1,566.10","1,534.05",32.05,2.09
MCX India,"6,742.00","6,523.55","6,706.75","6,569.35",137.4,2.09
SignatureGlobal,"1,274.00","1,227.85","1,263.65","1,237.90",25.75,2.08
KSB Pumps,814.25,778.55,800.50,784.25,16.25,2.07
KSB Pumps,814.25,778.55,800.50,784.25,16.25,2.07
Max Financial,"1,161.60","1,135.05","1,151.20","1,127.85",23.35,2.07
Vardhman Text,563.95,541.50,557.85,546.60,11.25,2.06
PNC Infratech,336.80,328.05,335.05,328.30,6.75,2.06
Bharat Dynamics,"1,295.00","1,261.30","1,286.80","1,260.95",25.85,2.05
Bharat Dynamics,"1,295.00","1,261.30","1,286.80","1,260.95",25.85,2.05
Zomato,295.90,286.55,294.15,288.25,5.9,2.05
Supreme Ind,"4,937.30","4,794.80","4,901.40","4,803.80",97.6,2.03
BHEL,248.20,242.35,247.60,242.75,4.85,2
NCC,309.65,300.40,308.75,302.70,6.05,2
Cummins,"3,682.00","3,597.75","3,671.40","3,599.90",71.5,1.99
City Union Bank,187.66,183.29,186.95,183.31,3.64,1.99
RITES,308.75,300.20,302.15,296.45,5.7,1.92
Dr Reddys Labs,"1,274.15","1,245.20","1,269.95","1,246.35",23.6,1.89
Dr Reddys Labs,"1,274.15","1,245.20","1,269.95","1,246.35",23.6,1.89
Ircon Internati,232.40,226.76,230.25,226.06,4.19,1.85
Ircon Internati,232.40,226.76,230.25,226.06,4.19,1.85
Mankind Pharma,"2,698.00","2,626.00","2,690.75","2,641.85",48.9,1.85
HEG,585.70,562.40,578.70,568.30,10.4,1.83
HEG,585.70,562.40,578.70,568.30,10.4,1.83
Shree Cements,"28,115.00","27,502.00","28,091.25","27,591.45",499.8,1.81
