company_name,high,low,last_price,prev_close,change,percent_gain
Alok Industries,23.50,20.21,22.13,20.12,2.01,9.99
Lemon Tree,147.99,138.25,146.79,138.43,8.36,6.04
Sonata,452.80,416.10,439.95,417.10,22.85,5.48
Schaeffler Ind,"4,232.00","3,984.40","4,201.90","3,987.60",214.30,5.37
Waaree Energies,"3,083.00","2,917.00","3,068.60","2,917.00",151.60,5.2
Raymond Life,"1,366.00","1,255.10","1,316.80","1,252.50",64.30,5.13
AAVAS Financier,"2,024.00","1,863.10","1,973.60","1,882.90",90.70,4.82
Valor Estate,248.00,233.46,246.65,235.38,11.27,4.79
Ceat,"3,868.00","3,647.80","3,818.10","3,655.50",162.60,4.45
KPR Mill,"1,222.90","1,163.80","1,209.60","1,158.30",51.30,4.43
NHPC,88.20,84.72,87.96,84.44,3.52,4.17
Motherson SWI,65.49,62.37,64.60,62.06,2.54,4.09
Trident,33.10,31.33,32.29,31.12,1.17,3.76
Kotak Mahindra,"2,241.50","2,176.20","2,224.50","2,149.80",74.70,3.47
Delhivery,410.50,393.45,408.80,396.10,12.70,3.21
Linde India,"6,920.00","6,669.00","6,893.50","6,679.50",214.00,3.2
Navin Fluorine,"5,054.00","4,902.40","5,040.10","4,886.20",153.90,3.15
UTI AMC,"1,349.90","1,304.80","1,345.80","1,308.00",37.80,2.89
IIFL Finance,507.60,485.40,501.25,487.20,14.05,2.88
Westlife Food,800.00,765.15,795.10,773.00,22.10,2.86
AIA Engineering,"3,499.90","3,355.60","3,444.80","3,353.00",91.80,2.74
Brigade Ent,"1,125.00","1,091.60","1,120.90","1,091.60",29.30,2.68
Capri Global,170.95,165.27,169.50,165.27,4.23,2.56
Capri Global,170.95,165.27,169.50,165.27,4.23,2.56
Apollo Tyres,475.00,457.50,471.75,460.40,11.35,2.47
Inventurus Know,"1,616.00","1,545.00","1,604.80","1,567.20",37.60,2.4
AWL Agri,263.90,256.50,263.25,257.20,6.05,2.35
HDFC AMC,"5,169.50","5,021.00","5,109.00","4,999.00",110.00,2.2
Techno Electric,"1,625.20","1,572.30","1,613.00","1,578.50",34.50,2.19
JM Financial,174.00,166.50,170.67,167.03,3.64,2.18
Engineers India,242.50,235.48,241.62,236.54,5.08,2.15
JSW Infra,312.75,307.20,311.65,305.15,6.50,2.13
APTUS VALUE,337.00,326.50,335.00,328.20,6.80,2.07
Jubilant Ing.,818.25,788.10,815.05,798.70,16.35,2.05
Power Finance,420.95,411.05,419.80,411.50,8.30,2.02
Info Edge,"1,471.00","1,431.00","1,458.90","1,431.10",27.80,1.94
Eternal,264.20,259.50,263.50,258.55,4.95,1.91
Concord Biotech,"1,814.40","1,721.00","1,793.00","1,760.80",32.20,1.83
Aditya Birla F,79.67,77.50,79.52,78.10,1.42,1.82
Vishal Mega Mar,130.15,126.35,129.81,127.54,2.27,1.78
Prestige Estate,"1,665.00","1,616.30","1,659.10","1,630.50",28.60,1.75
Asian Paints,"2,488.00","2,437.30","2,484.60","2,442.80",41.80,1.71
NTPC,343.90,337.00,343.20,337.45,5.75,1.7
Phoenix Mills,"1,579.90","1,554.10","1,574.70","1,549.50",25.20,1.63
PB Fintech,"1,858.90","1,799.50","1,854.20","1,824.80",29.40,1.61
Jyothy Labs,360.40,351.10,358.00,352.40,5.60,1.59
Grasim,"2,841.30","2,778.20","2,820.80","2,779.10",41.70,1.5
ACME Solar,260.00,249.86,258.33,254.61,3.72,1.46
BPCL,358.65,348.70,355.60,350.50,5.10,1.46
Intellect Desig,"1,177.00","1,142.20","1,166.10","1,149.30",16.80,1.46
SRF,"3,297.20","3,224.90","3,286.50","3,239.40",47.10,1.45
GE Vernova TD,"2,397.00","2,320.00","2,382.90","2,349.40",33.50,1.43
Premier Energie,"1,062.00","1,039.00","1,056.60","1,042.00",14.60,1.4
Escorts Kubota,"3,398.50","3,321.20","3,387.90","3,341.80",46.10,1.38
Bharat Dynamics,"1,975.00","1,935.40","1,969.60","1,943.30",26.30,1.35
Bharat Dynamics,"1,975.00","1,935.40","1,969.60","1,943.30",26.30,1.35
Bata India,"1,275.00","1,233.10","1,244.90","1,228.30",16.60,1.35
Star Health,428.40,420.90,427.70,422.00,5.70,1.35
Jindal Stainles,687.00,673.55,684.30,675.45,8.85,1.31
GMR Airports,91.55,89.93,91.24,90.07,1.17,1.3
Global Health,"1,219.90","1,198.00","1,218.10","1,202.80",15.30,1.27
Ramco Cements,"1,102.00","1,072.50","1,099.40","1,085.60",13.80,1.27
Swiggy,383.00,376.15,381.45,376.65,4.80,1.27
MRF,"145,555.00","142,210.00","144,945.00","143,135.00","1,810.00",1.26
DLF,844.40,822.80,842.90,832.50,10.40,1.25
Olectra Greente,"1,224.00","1,195.00","1,214.20","1,199.40",14.80,1.23
Anant Raj,552.40,533.75,550.40,543.75,6.65,1.22
MphasiS,"2,937.00","2,863.20","2,909.60","2,874.60",35.00,1.22
Cummins,"3,483.00","3,414.00","3,478.00","3,436.10",41.90,1.22
SAIL,135.33,132.87,135.05,133.47,1.58,1.18
Bharat Elec,423.35,416.25,422.00,417.10,4.90,1.17
Natco Pharma,988.60,960.10,984.95,973.60,11.35,1.17
Nippon,803.25,772.15,788.10,779.20,8.90,1.14
SBI Card,921.00,902.65,918.75,908.95,9.80,1.08
Amber Enterpris,"7,530.00","7,373.50","7,510.50","7,431.00",79.50,1.07
HINDPETRO,455.00,444.70,452.70,447.90,4.80,1.07
HEG,498.00,488.05,494.45,489.25,5.20,1.06
HEG,498.00,488.05,494.45,489.25,5.20,1.06
Newgen Software,"1,147.20","1,118.00","1,129.80","1,118.70",11.10,0.99
CreditAccess Gr,"1,305.30","1,257.10","1,297.70","1,285.10",12.60,0.98
Sammaan Capital,126.90,121.71,125.08,123.89,1.19,0.96
Interglobe Avi,"5,808.00","5,739.50","5,802.00","5,748.00",54.00,0.94
Transformers,495.70,483.00,492.80,488.20,4.60,0.94
Krishna Inst.,707.00,687.45,701.30,694.95,6.35,0.91
Krishna Inst.,707.00,687.45,701.30,694.95,6.35,0.91
Apar Ind,"8,649.00","8,450.50","8,620.00","8,543.50",76.50,0.9
Data Patterns,"2,999.00","2,921.00","2,989.70","2,962.90",26.80,0.9
Saregama India,496.00,482.95,493.95,489.55,4.40,0.9
Adani Ports,"1,449.90","1,430.00","1,448.50","1,435.60",12.90,0.9
3M India,"29,740.00","29,235.00","29,515.00","29,255.00",260.00,0.89
Dr Lal PathLab,"2,923.00","2,824.90","2,880.00","2,854.70",25.30,0.89
KPIL,"1,206.00","1,174.50","1,189.50","1,179.00",10.50,0.89
REC,397.00,390.30,395.10,391.60,3.50,0.89
Mankind Pharma,"2,443.10","2,408.10","2,431.70","2,410.40",21.30,0.88
UNO Minda,"1,114.70","1,090.10","1,103.20","1,093.80",9.40,0.86
KFin Tech,"1,277.20","1,246.60","1,273.30","1,262.60",10.70,0.85
Sapphire Foods,341.40,332.10,338.10,335.25,2.85,0.85
Sapphire Foods,341.40,332.10,338.10,335.25,2.85,0.85
IEX,202.50,198.00,200.99,199.33,1.66,0.83
J. K. Cement,"6,339.00","6,190.50","6,297.50","6,246.00",51.50,0.82
HUDCO,229.50,224.01,229.17,227.33,1.84,0.81
UltraTechCement,"12,495.00","12,305.00","12,445.00","12,345.00",100.00,0.81
ACC,"1,982.00","1,948.80","1,980.00","1,964.50",15.50,0.79
EIH,375.90,367.25,371.55,368.65,2.90,0.79
Zen Tech,"1,978.70","1,905.10","1,953.60","1,938.30",15.30,0.79
PNC Infratech,307.00,299.30,304.30,301.95,2.35,0.78
JSW Energy,516.85,504.35,513.55,509.65,3.90,0.77
Balkrishna Ind,"2,626.00","2,598.00","2,622.50","2,602.80",19.70,0.76
IRB Infra,49.64,48.88,49.45,49.08,0.37,0.75
IRB Infra,49.64,48.88,49.45,49.08,0.37,0.75
JK Bank,114.70,111.10,112.13,111.29,0.84,0.75
AU Small Financ,821.20,802.00,819.85,813.85,6.00,0.74
Bikaji Foods,740.50,725.70,735.95,730.55,5.40,0.74
DCM Shriram,"1,430.00","1,361.80","1,406.10","1,396.10",10.00,0.72
Divis Labs,"7,071.50","6,911.00","6,938.00","6,888.50",49.50,0.72
