company_name,high,low,last_price,prev_close,change,percent_gain
Blue Dart,"6,645.00","5,800.00","6,572.00","5,537.50","1,034.50",18.68
Five-Star Busin,621.65,528.25,605.05,537.05,68.00,12.66
Adani Green Ene,"1,145.00","1,012.10","1,116.50","1,004.20",112.30,11.18
Varun Beverages,501.70,455.00,495.45,454.15,41.30,9.09
Graphite India,638.80,588.30,637.00,590.30,46.70,7.91
MM Financial,329.35,306.60,322.50,299.90,22.60,7.54
HEG,581.00,536.00,575.00,534.80,40.20,7.52
SAIL,143.27,133.20,140.55,132.16,8.39,6.35
Aditya Birla Re,"1,825.00","1,678.00","1,799.00","1,694.60",104.40,6.16
Reliance Power,47.60,43.31,46.29,43.68,2.61,5.98
IOC,163.73,155.00,163.09,154.52,8.57,5.55
Adani Energy,983.50,917.95,968.00,921.20,46.80,5.08
NBCC (India),116.15,110.36,115.22,110.31,4.91,4.45
Gujarat Pipavav,167.00,159.16,166.01,158.99,7.02,4.42
HUDCO,236.70,224.90,235.68,225.92,9.76,4.32
REC,385.75,369.70,384.80,368.95,15.85,4.3
MRPL,163.49,152.21,159.42,152.90,6.52,4.26
PVR INOX,"1,240.20","1,179.70","1,234.40","1,184.40",50.00,4.22
Sapphire Foods,295.00,278.10,291.45,279.90,11.55,4.13
Adani Total Gas,675.00,613.55,646.50,621.00,25.50,4.11
Welspun Living,134.39,126.75,133.52,128.35,5.17,4.03
Bharti Hexacom,"1,955.60","1,825.00","1,914.30","1,846.50",67.80,3.67
GAIL,186.44,178.75,184.99,178.46,6.53,3.66
RHI Magnesita,468.50,447.40,463.75,447.40,16.35,3.65
CG Power ,759.00,721.15,748.60,722.50,26.10,3.61
Power Finance,411.00,393.25,408.80,394.60,14.20,3.6
Godawari Power,290.00,269.23,278.44,268.97,9.47,3.52
Suzlon Energy,58.78,55.98,58.19,56.22,1.97,3.5
NTPC Green Ener,105.24,101.50,105.04,101.59,3.45,3.4
BHEL,245.50,237.00,245.22,237.34,7.88,3.32
GE Vernova TD,"3,080.80","2,930.40","3,066.50","2,968.20",98.30,3.31
Poly Medicure,"1,979.30","1,888.90","1,968.50","1,905.60",62.90,3.3
MMTC,71.45,66.70,68.95,66.80,2.15,3.22
Honasa Consumer,282.40,271.35,280.25,271.55,8.70,3.2
Apar Ind,"9,600.00","8,926.50","9,395.00","9,107.50",287.50,3.16
Hitachi Energy,"17,595.00","16,860.00","17,482.00","16,956.00",526.00,3.1
JBM Auto,684.50,660.10,677.65,657.25,20.40,3.1
Adani Ports,"1,464.80","1,421.60","1,461.70","1,417.90",43.80,3.09
Ajanta Pharma,"2,469.00","2,401.00","2,461.90","2,388.40",73.50,3.08
Tata Power,412.40,398.70,410.70,398.65,12.05,3.02
Tanla Platforms,623.85,603.90,622.45,604.40,18.05,2.99
Sun TV Network,579.00,556.20,576.45,560.00,16.45,2.94
Polycab,"7,758.00","7,514.50","7,729.00","7,510.00",219.00,2.92
Torrent Power,"1,319.00","1,278.00","1,313.60","1,277.20",36.40,2.85
HINDPETRO,466.65,451.10,464.80,452.15,12.65,2.8
NHPC,87.03,84.78,87.00,84.63,2.37,2.8
Ambuja Cements,570.85,555.00,570.30,554.90,15.40,2.78
NMDC,77.65,74.67,76.70,74.63,2.07,2.77
Vedanta,524.40,504.05,516.20,502.45,13.75,2.74
Hind Copper,355.25,343.80,351.50,342.30,9.20,2.69
Cera Sanitary,"6,150.00","5,936.50","6,126.50","5,967.00",159.50,2.67
Carborundum,938.90,903.65,932.15,908.30,23.85,2.63
Hind Zinc,486.25,473.50,483.60,471.20,12.40,2.63
United Spirits,"1,393.00","1,352.40","1,387.40","1,351.80",35.60,2.63
Shree Renuka,30.82,29.26,30.04,29.27,0.77,2.63
Triveni Turbine,538.00,520.50,536.00,522.30,13.70,2.62
Sarda Energy,578.50,547.15,558.85,544.70,14.15,2.6
Hyundai Motor,"2,369.90","2,286.60","2,357.70","2,298.70",59.00,2.57
Sagility,51.60,49.63,50.87,49.60,1.27,2.56
UPL,721.80,708.20,720.05,702.60,17.45,2.48
NTPC,350.00,339.15,347.50,339.15,8.35,2.46
Container Corp,555.90,537.10,553.85,541.20,12.65,2.34
Power Grid Corp,296.55,288.75,295.00,288.25,6.75,2.34
Brigade Ent,"1,038.10","1,015.75","1,034.50","1,011.05",23.45,2.32
Welspun Corp,910.20,884.30,906.95,886.40,20.55,2.32
HCL Tech,"1,559.00","1,522.00","1,557.30","1,522.10",35.20,2.31
Indian Renew,155.19,151.15,154.95,151.47,3.48,2.3
Devyani Int,168.74,163.60,167.72,163.96,3.76,2.29
Jyothy Labs,322.00,313.90,321.10,313.90,7.20,2.29
Whirlpool,"1,428.00","1,376.60","1,412.70","1,381.20",31.50,2.28
Adani Enterpris,"2,600.00","2,495.50","2,550.80","2,494.40",56.40,2.26
Himadri Special,487.00,473.00,485.00,474.30,10.70,2.26
BPCL,349.00,340.85,348.30,340.65,7.65,2.25
Chalet Hotels,954.10,927.70,950.75,930.45,20.30,2.18
Biocon,374.75,365.60,373.70,365.75,7.95,2.17
APL Apollo,"1,822.30","1,768.40","1,815.40","1,777.00",38.40,2.16
Guj Mineral,606.00,577.90,591.20,578.75,12.45,2.15
Akums Drugs P,471.50,452.30,467.00,457.20,9.80,2.14
DCM Shriram,"1,409.00","1,311.10","1,330.20","1,302.30",27.90,2.14
Motherson SWI,47.77,46.30,47.74,46.74,1.00,2.14
Jupiter Wagons,328.00,320.80,327.55,320.75,6.80,2.12
Petronet LNG,284.35,276.80,283.75,277.85,5.90,2.12
ABB India,"5,299.50","5,175.50","5,284.50","5,175.50",109.00,2.11
Action Const,"1,112.00","1,085.00","1,105.50","1,082.70",22.80,2.11
Aarti Ind,388.00,377.95,385.85,377.90,7.95,2.1
Vardhman Text,446.60,428.60,442.40,433.30,9.10,2.1
PCBL Chemical,375.00,364.50,372.70,365.15,7.55,2.07
Olectra Greente,"1,540.00","1,490.20","1,526.00","1,495.30",30.70,2.05
Jubilant Food,614.90,598.00,613.05,600.75,12.30,2.05
ONGC,257.34,250.55,255.64,250.54,5.10,2.04
Sai Life Sci,922.05,900.50,916.75,898.45,18.30,2.04
Shriram Finance,741.90,717.40,738.45,723.70,14.75,2.04
JSW Steel,"1,223.90","1,185.50","1,207.90","1,184.20",23.70,2
Ircon Internati,172.90,168.70,172.04,168.70,3.34,1.98
HFCL,77.59,75.27,77.15,75.66,1.49,1.97
Schaeffler Ind,"3,955.00","3,842.30","3,947.40","3,871.80",75.60,1.95
Havells India,"1,513.00","1,484.20","1,509.40","1,480.60",28.80,1.95
Sun Pharma,"1,720.50","1,687.30","1,719.90","1,687.00",32.90,1.95
HDFC Life,763.40,749.00,761.50,747.00,14.50,1.94
Lupin,"1,960.00","1,918.70","1,955.90","1,918.70",37.20,1.94
Alkem Lab,"5,545.00","5,415.50","5,535.00","5,432.00",103.00,1.9
Inox Wind,159.30,152.17,156.22,153.30,2.92,1.9
Krishna Inst.,742.80,720.75,735.35,721.65,13.70,1.9
IRFC,125.40,122.64,125.09,122.77,2.32,1.89
Raymond,591.55,575.00,587.05,576.15,10.90,1.89
Oil India,421.95,413.00,420.50,412.75,7.75,1.88
Triveni Engg,362.00,349.85,358.45,351.85,6.60,1.88
Delhivery,487.55,476.40,484.70,475.80,8.90,1.87
Shipping Corp,277.40,262.33,266.71,261.81,4.90,1.87
Patanjali Foods,606.95,592.00,604.70,593.65,11.05,1.86
Tata Steel,186.94,182.05,185.19,181.81,3.38,1.86
JSW Holdings,"17,200.00","16,825.00","17,135.00","16,825.00",310.00,1.84
Shree Cements,"29,425.00","28,450.00","29,110.00","28,585.00",525.00,1.84
Syrma SGS,826.75,801.20,816.95,802.25,14.70,1.83
EID Parry,"1,094.30","1,070.00","1,089.80","1,070.40",19.40,1.81
Swan Corp,489.90,469.05,480.80,472.35,8.45,1.79
Railtel,374.10,364.20,372.55,366.05,6.50,1.78
Engineers India,202.70,197.83,201.28,197.77,3.51,1.77
AWL Agri,276.75,267.00,273.15,268.45,4.70,1.75
Anant Raj,640.80,623.40,635.60,624.80,10.80,1.73
Jaiprakash Pow,18.40,17.78,18.20,17.89,0.31,1.73
SBI Life Insura,"1,975.00","1,934.00","1,970.40","1,936.80",33.60,1.73
IIFL Finance,524.85,499.00,522.50,513.80,8.70,1.69
Elgi Equipments,507.40,492.30,505.15,496.90,8.25,1.66
LT Foods,423.45,414.35,422.60,415.70,6.90,1.66
PG Electroplast,577.00,564.85,574.60,565.30,9.30,1.65
Chambal Fert,498.35,490.05,495.40,487.40,8.00,1.64
Trident,29.21,28.47,28.97,28.51,0.46,1.61
CCL Products,870.00,846.55,864.35,850.65,13.70,1.61
CESC,185.26,179.50,181.61,178.74,2.87,1.61
Cummins,"4,363.70","4,271.10","4,354.10","4,285.60",68.50,1.6
APTUS VALUE,318.00,308.40,316.85,311.90,4.95,1.59
Zen Tech,"1,374.40","1,330.20","1,362.10","1,340.80",21.30,1.59
Praj Industries,342.00,334.05,340.80,335.50,5.30,1.58
Colgate,"2,277.00","2,226.10","2,267.70","2,232.70",35.00,1.57
Glenmark,"1,850.70","1,798.60","1,843.30","1,815.10",28.20,1.55
MphasiS,"2,897.40","2,801.00","2,874.60","2,830.90",43.70,1.54
Guj State Petro,319.80,309.20,313.95,309.20,4.75,1.54
Vedant Fashions,688.05,674.45,685.65,675.25,10.40,1.54
Global Health,"1,378.20","1,355.40","1,376.00","1,355.40",20.60,1.52
Techno Electric,"1,357.70","1,315.20","1,346.20","1,326.00",20.20,1.52
Mankind Pharma,"2,447.00","2,405.90","2,442.80","2,406.50",36.30,1.51
Bajaj Housing,110.84,108.90,110.65,109.01,1.64,1.5
Minda Corp,578.50,565.00,575.10,566.65,8.45,1.49
Niva Bupa Healt,75.36,73.81,75.12,74.04,1.08,1.46
Concord Biotech,"1,458.00","1,432.60","1,452.60","1,432.00",20.60,1.44
Gujarat Gas,415.45,404.15,411.65,405.80,5.85,1.44
Raymond Life,"1,242.00","1,172.80","1,220.80","1,203.50",17.30,1.44
R R Kabel,"1,431.50","1,383.50","1,423.80","1,403.90",19.90,1.42
Inventurus Know,"1,579.00","1,551.60","1,569.40","1,547.80",21.60,1.4
NCC,213.83,210.30,213.56,210.61,2.95,1.4
LTIMindtree,"5,676.00","5,571.00","5,673.00","5,596.00",77.00,1.38
RITES,248.25,244.30,247.53,244.15,3.38,1.38
Narayana Hruda,"1,807.70","1,771.20","1,799.90","1,776.00",23.90,1.35
Firstsource Sol,349.75,339.95,348.30,343.70,4.60,1.34
Go Digit,374.00,357.50,365.60,360.75,4.85,1.34
Asahi India,948.00,927.55,945.50,933.15,12.35,1.32
Jubilant Pharmo,"1,141.00","1,115.10","1,136.80","1,122.00",14.80,1.32
GE Shipping,"1,082.00","1,046.00","1,071.90","1,058.05",13.85,1.31
NAVA,631.35,609.05,625.05,617.00,8.05,1.3
ACME Solar,288.85,281.15,285.65,282.05,3.60,1.28
Emcure Pharmace,"1,354.90","1,328.70","1,342.90","1,326.00",16.90,1.27
Kansai Nerolac,253.29,249.01,252.68,249.50,3.18,1.27
UNO Minda,"1,217.00","1,190.50","1,216.40","1,201.20",15.20,1.27
Capri Global,210.21,205.10,209.08,206.48,2.60,1.26
Route,740.00,724.50,736.80,727.70,9.10,1.25
Siemens,"3,165.40","3,111.00","3,148.70","3,109.70",39.00,1.25
TITAGARH,909.90,889.35,903.95,892.80,11.15,1.25
Happiest Minds ,531.00,512.00,522.15,515.75,6.40,1.24
IRCTC,735.75,720.15,730.65,721.70,8.95,1.24
Sterling Wilson,226.95,221.10,224.64,221.89,2.75,1.24
