company_name,high,low,last_price,prev_close,change,percent_gain
AstraZeneca,"9,488.00","8,400.50","9,336.50","7,972.00","1,364.50",17.12
CDSL,"1,698.00","1,531.10","1,682.90","1,529.70",153.20,10.02
Yes Bank,23.39,21.35,23.28,21.48,1.80,8.38
Sterling Wilson,313.60,284.45,305.50,282.40,23.10,8.18
Karur Vysya,241.50,221.69,239.66,221.69,17.97,8.11
Brigade Ent,"1,187.90","1,085.70","1,176.30","1,094.40",81.90,7.48
Reliance Power,62.80,58.55,61.97,58.10,3.87,6.66
Bank of Mah,58.00,54.10,57.51,53.98,3.53,6.54
IOB,42.35,39.70,42.06,39.84,2.22,5.57
Valor Estate,206.90,188.55,203.15,192.62,10.53,5.47
Elecon Eng,703.00,664.00,699.90,664.00,35.90,5.41
Elecon Eng,703.00,664.00,699.90,664.00,35.90,5.41
Ola Electric,54.40,49.70,53.68,50.96,2.72,5.34
Prestige Estate,"1,543.20","1,484.00","1,539.60","1,466.60",73.00,4.98
Anand Rathi,"1,990.60","1,895.30","1,968.40","1,876.50",91.90,4.9
Indian Bank,652.00,616.25,646.25,616.60,29.65,4.81
JM Financial,134.85,126.17,133.73,127.74,5.99,4.69
IDBI Bank,101.89,95.87,101.27,96.81,4.46,4.61
Jubilant Ing.,737.40,701.00,734.05,702.40,31.65,4.51
CAMS,"4,170.00","3,921.00","4,139.20","3,961.10",178.10,4.5
GE Shipping,980.00,926.60,971.85,930.80,41.05,4.41
Union Bank,154.39,148.00,153.17,146.79,6.38,4.35
Redington,270.10,258.00,269.80,258.67,11.13,4.3
KFin Tech,"1,149.90","1,065.80","1,124.40","1,078.70",45.70,4.24
Concord Biotech,"1,834.90","1,755.40","1,819.40","1,748.50",70.90,4.05
Central Bank,41.20,39.07,40.47,38.94,1.53,3.93
India Cements,331.80,310.00,329.50,317.15,12.35,3.89
Network 18,57.45,53.60,56.62,54.54,2.08,3.81
One 97 Paytm,929.00,883.65,924.35,890.45,33.90,3.81
Angel One,"3,171.90","3,016.00","3,149.40","3,035.60",113.80,3.75
AU Small Financ,721.00,691.90,718.65,693.05,25.60,3.69
UCO Bank,35.08,33.00,34.27,33.05,1.22,3.69
KEC Intl,865.00,828.85,863.05,832.40,30.65,3.68
Data Patterns,"2,972.00","2,818.30","2,947.30","2,848.20",99.10,3.48
Anant Raj,585.90,535.45,579.90,561.20,18.70,3.33
Shyam Metalics,878.00,840.00,870.50,843.10,27.40,3.25
Navin Fluorine,"4,450.00","4,225.00","4,395.40","4,261.20",134.20,3.15
Dalmia Bharat,"2,084.80","2,011.60","2,076.00","2,016.40",59.60,2.96
PVR INOX,"1,044.90",985.00,"1,014.15",985.25,28.90,2.93
Phoenix Mills,"1,594.90","1,525.70","1,581.50","1,537.10",44.40,2.89
Godrej Consumer,"1,301.30","1,256.90","1,266.10","1,231.40",34.70,2.82
Rattanindia Ent,48.12,46.02,47.95,46.65,1.30,2.79
Glenmark,"1,502.50","1,448.50","1,497.50","1,457.10",40.40,2.77
PNB Housing Fin,"1,078.00","1,037.20","1,073.30","1,044.90",28.40,2.72
Bank of India,125.80,121.82,125.25,121.94,3.31,2.71
HUDCO,248.80,239.21,247.66,241.24,6.42,2.66
GE Vernova TD,"2,353.40","2,244.00","2,299.40","2,241.40",58.00,2.59
PNB,109.20,106.00,108.46,105.82,2.64,2.49
Adani Ports,"1,482.00","1,425.30","1,468.00","1,432.80",35.20,2.46
PG Electroplast,793.90,761.00,790.25,771.45,18.80,2.44
PG Electroplast,793.90,761.00,790.25,771.45,18.80,2.44
