company_name,high,low,last_price,prev_close,change,percent_gain
Sterling Wilson,281.70,267.10,270.05,266.15,3.9,1.47
EID Parry,"1,098.00","1,077.70","1,086.00","1,070.40",15.6,1.46
BLS Internation,371.60,363.05,367.50,362.40,5.1,1.41
Akums Drugs P,473.80,463.00,468.70,462.25,6.45,1.4
Schaeffler Ind,"4,015.40","3,897.30","3,951.30","3,897.30",54,1.39
Vedant Fashions,742.00,725.00,731.20,721.20,10,1.39
Firstsource Sol,358.50,351.00,356.25,351.45,4.8,1.37
RHI Magnesita,478.00,468.30,475.15,468.75,6.4,1.37
KEI Industries,"4,097.00","4,045.00","4,081.90","4,027.20",54.7,1.36
MRPL,128.73,125.65,127.01,125.32,1.69,1.35
Chambal Fert,548.35,536.55,545.10,537.90,7.2,1.34
Radico Khaitan,"2,805.40","2,711.00","2,794.60","2,757.70",36.9,1.34
PCBL Chemical,399.50,388.30,389.95,384.85,5.1,1.33
Apollo Hospital,"7,939.00","7,805.00","7,929.00","7,825.50",103.5,1.32
IEX,145.69,143.41,144.74,142.86,1.88,1.32
Mahanagar Gas,"1,293.50","1,274.20","1,287.00","1,270.30",16.7,1.31
Power Finance,400.95,394.00,398.00,392.90,5.1,1.3
GE Shipping,994.00,977.05,987.75,975.15,12.6,1.29
Ajanta Pharma,"2,604.80","2,560.10","2,593.80","2,561.30",32.5,1.27
Gujarat Fluoro,"3,719.00","3,628.10","3,684.10","3,638.30",45.8,1.26
Netweb,"3,220.00","3,050.00","3,098.00","3,059.80",38.2,1.25
Prestige Estate,"1,576.50","1,539.90","1,561.90","1,542.70",19.2,1.24
Syngene Intl,655.75,645.00,652.55,644.60,7.95,1.23
Bombay Burmah,"1,904.00","1,851.00","1,884.40","1,861.60",22.8,1.22
NALCO,211.37,207.02,209.13,206.62,2.51,1.21
Jindal Stainles,783.90,759.95,778.30,769.05,9.25,1.2
Berger Paints,536.50,530.25,535.65,529.35,6.3,1.19
Amara Raja,"1,037.90","1,021.80","1,034.45","1,022.45",12,1.17
Nippon,831.00,810.05,816.50,807.15,9.35,1.16
SBI,824.60,810.40,818.20,808.85,9.35,1.16
HEG,512.00,501.00,504.85,499.10,5.75,1.15
Lupin,"1,983.30","1,954.80","1,979.70","1,957.30",22.4,1.14
Adani Enterpris,"2,345.90","2,325.10","2,337.70","2,311.60",26.1,1.13
ICICI Lombard ,"1,861.00","1,837.10","1,855.20","1,834.90",20.3,1.11
PTC Industries,"13,731.00","13,559.00","13,709.00","13,560.00",149,1.1
Atul,"6,440.50","6,354.00","6,419.00","6,350.00",69,1.09
IRFC,127.27,125.05,126.18,124.82,1.36,1.09
