company_name,high,low,last_price,prev_close,change,percent_gain
360 ONE WAM,897.95,790.50,886.55,849.35,37.2,4.38
360 ONE WAM,897.95,790.50,886.55,849.35,37.2,4.38
Delhivery,271.30,238.50,268.35,258.80,9.55,3.69
Vedant Fashions,808.00,740.00,785.80,765.65,20.15,2.63
Linde India,"6,000.00","5,400.00","5,937.45","5,794.35",143.1,2.47
Aegis Logistics,811.95,685.30,794.50,777.75,16.75,2.15
GMR Airports,83.00,76.66,82.22,80.74,1.48,1.83
Westlife Food,699.00,640.70,690.60,681.20,9.4,1.38
Adani Wilmar,271.40,246.15,269.75,266.15,3.6,1.35
Asahi India,627.00,578.65,621.40,614.05,7.35,1.2
Archean Chem,546.85,480.00,529.05,523.25,5.8,1.11
CCL Products,563.90,525.00,556.55,550.80,5.75,1.04
Jupiter Wagons,375.00,311.00,372.15,368.80,3.35,0.91
Jyothy Labs,337.45,300.10,334.00,331.70,2.3,0.69
Britannia,"5,072.00","4,605.05","5,055.85","5,023.40",32.45,0.65
CG Consumer,331.90,301.00,330.30,329.30,1,0.3
Godrej Consumer,"1,177.60","1,125.05","1,160.10","1,156.60",3.5,0.3
HUL,"2,261.60","2,150.00","2,249.40","2,244.55",4.85,0.22
