company_name,high,low,last_price,prev_close,change,percent_gain
Jaiprakash Pow,22.79,21.06,21.73,20.27,1.46,7.2
MM Financial,348.95,331.45,346.00,329.85,16.15,4.9
Natco Pharma,887.65,828.30,869.30,830.15,39.15,4.72
Netweb,"3,499.00","3,366.00","3,439.60","3,288.00",151.6,4.61
IEX,143.73,137.30,143.13,137.11,6.02,4.39
Radico Khaitan,"3,591.90","3,261.70","3,368.00","3,229.50",138.5,4.29
TBO Tek,"1,710.00","1,610.00","1,678.00","1,610.20",67.8,4.21
eClerx Services,"4,620.00","4,426.20","4,595.70","4,425.40",170.3,3.85
Eris Life,"1,680.00","1,596.30","1,669.60","1,610.90",58.7,3.64
Hitachi Energy,"22,450.00","21,690.00","22,397.00","21,624.00",773,3.57
Eicher Motors,"7,135.00","6,886.50","7,130.50","6,896.50",234,3.39
Transformers,318.40,300.80,313.15,303.30,9.85,3.25
Garden Reach Sh,"2,963.70","2,829.00","2,921.10","2,829.40",91.7,3.24
Zen Tech,"1,466.80","1,416.30","1,445.80","1,401.70",44.1,3.15
AIA Engineering,"3,851.00","3,697.40","3,839.60","3,733.40",106.2,2.84
JSW Holdings,"18,100.00","17,299.00","17,729.00","17,239.00",490,2.84
IGIL,339.50,322.70,335.10,326.20,8.9,2.73
Cummins,"4,394.70","4,278.00","4,375.70","4,261.30",114.4,2.68
Gland,"1,830.00","1,768.10","1,817.30","1,769.80",47.5,2.68
NBCC (India),117.55,113.80,115.99,113.04,2.95,2.61
Welspun Living,140.40,136.06,140.00,136.62,3.38,2.47
Afcons Infra,403.70,390.60,398.40,388.95,9.45,2.43
Techno Electric,"1,252.70","1,182.50","1,210.80","1,182.50",28.3,2.39
SRF,"2,876.00","2,791.10","2,851.60","2,786.40",65.2,2.34
Bajaj Finance,"1,031.70","1,007.30","1,028.60","1,005.60",23,2.29
Waaree Energies,"3,279.00","3,200.00","3,246.80","3,174.40",72.4,2.28
Tata Comm,"1,936.90","1,865.90","1,917.40","1,875.50",41.9,2.23
Bajaj Finserv,"2,105.00","2,042.90","2,095.60","2,050.20",45.4,2.21
CAMS,"4,065.00","3,924.00","4,014.50","3,929.00",85.5,2.18
360 ONE WAM,"1,143.90","1,117.60","1,142.80","1,119.20",23.6,2.11
Hero Motocorp,"6,042.00","5,921.50","5,999.50","5,876.50",123,2.09
Glenmark,"1,894.80","1,842.10","1,878.00","1,840.80",37.2,2.02
Reliance,"1,550.90","1,526.70","1,549.10","1,518.90",30.2,1.99
Gujarat Pipavav,180.75,174.46,177.31,173.86,3.45,1.98
AFFLE 3I,"1,728.00","1,672.10","1,719.00","1,686.60",32.4,1.92
Indian Hotels,741.00,719.10,733.35,719.55,13.8,1.92
PG Electroplast,596.75,578.20,590.55,579.80,10.75,1.85
Mazagon Dock,"2,848.00","2,775.80","2,829.50","2,783.40",46.1,1.66
Chennai Petro,"1,103.00","1,057.50","1,078.00","1,060.40",17.6,1.66
Data Patterns,"3,215.00","3,042.70","3,104.60","3,055.20",49.4,1.62
Thermax,"2,985.90","2,905.70","2,969.30","2,921.90",47.4,1.62
Chola Invest.,"1,707.00","1,670.20","1,705.10","1,678.10",27,1.61
Emami,522.40,510.00,519.20,511.10,8.1,1.58
Chalet Hotels,901.00,883.45,899.90,885.95,13.95,1.57
Jyoti CNC Auto,"1,002.15",983.60,992.15,976.90,15.25,1.56
