company_name,high,low,last_price,prev_close,change,percent_gain
Sagility India,44.10,41.19,43.72,41.16,2.56,6.22
RITES,299.80,284.75,295.10,279.05,16.05,5.75
Tata Comm,"1,818.70","1,747.10","1,807.50","1,725.80",81.70,4.73
Aditya Birla F,78.30,74.04,77.89,74.51,3.38,4.54
Kajaria Ceramic,"1,132.40","1,067.10","1,120.60","1,074.60",46.00,4.28
Apollo Tyres,470.90,448.55,466.80,447.70,19.10,4.27
Mankind Pharma,"2,417.00","2,288.10","2,384.70","2,287.00",97.70,4.27
Gujarat Gas,502.00,478.35,499.40,480.20,19.20,4
LT Foods,500.00,475.30,494.75,475.95,18.80,3.95
JSW Holdings,"22,350.00","21,340.00","22,210.00","21,400.00",810.00,3.79
Tata Steel,166.15,159.83,165.88,160.06,5.82,3.64
Latent View,433.70,408.50,425.00,410.10,14.90,3.63
Balkrishna Ind,"2,586.90","2,483.00","2,566.20","2,476.80",89.40,3.61
Hitachi Energy,"20,100.00","19,370.00","19,960.00","19,290.00",670.00,3.47
PG Electroplast,749.70,723.50,745.95,723.00,22.95,3.17
PG Electroplast,749.70,723.50,745.95,723.00,22.95,3.17
SAIL,138.00,133.17,137.48,133.34,4.14,3.1
Dixon Technolog,"15,256.00","14,678.00","15,163.00","14,716.00",447.00,3.04
Asahi India,842.00,775.10,830.55,806.30,24.25,3.01
Blue Star,"1,762.00","1,688.30","1,756.10","1,704.90",51.20,3
JK Tyre Ind,369.80,356.15,367.05,356.45,10.60,2.97
JSW Steel,"1,064.90","1,031.00","1,059.90","1,029.60",30.30,2.94
Syrma SGS,614.00,585.95,604.10,586.95,17.15,2.92
Welspun Corp,955.00,918.60,937.90,911.65,26.25,2.88
GMR Airports,88.80,86.21,88.40,86.01,2.39,2.78
Chennai Petro,718.40,682.40,700.70,681.75,18.95,2.78
Elecon Eng,663.00,632.20,650.85,633.75,17.10,2.7
Elecon Eng,663.00,632.20,650.85,633.75,17.10,2.7
Kalyan Jeweller,593.60,566.80,585.60,570.35,15.25,2.67
Home First,"1,368.00","1,312.50","1,352.10","1,320.10",32.00,2.42
Ambuja Cements,597.60,581.55,594.20,580.25,13.95,2.4
Kaynes Tech,"6,308.50","6,065.00","6,286.50","6,140.50",146.00,2.38
Fortis Health,795.95,768.30,792.55,774.75,17.80,2.3
Abbott India,"35,590.00","34,310.00","35,460.00","34,665.00",795.00,2.29
Inox Wind,179.00,174.50,176.90,172.97,3.93,2.27
Can Fin Homes,812.00,794.25,809.25,791.35,17.90,2.26
Aurobindo Pharm,"1,167.60","1,131.10","1,158.00","1,132.50",25.50,2.25
JM Financial,163.00,157.29,162.24,158.71,3.53,2.22
FSN E-Co Nykaa,212.25,204.26,211.59,207.05,4.54,2.19
Triveni Turbine,626.40,602.45,619.25,606.00,13.25,2.19
IGL,221.84,215.71,220.72,216.09,4.63,2.14
Bharat Forge,"1,319.00","1,275.00","1,311.40","1,284.20",27.20,2.12
Asian Paints,"2,430.00","2,327.00","2,419.40","2,369.50",49.90,2.11
CCL Products,865.00,814.70,855.65,838.05,17.60,2.1
Godrej Agrovet,812.75,786.90,803.85,787.45,16.40,2.08
GE Shipping,"1,003.50",972.50,"1,000.00",979.80,20.20,2.06
Amber Enterpris,"7,271.50","7,050.00","7,224.50","7,083.00",141.50,2
Firstsource Sol,370.90,358.55,364.85,357.90,6.95,1.94
Alkyl Amines,"2,398.80","2,265.60","2,346.60","2,302.80",43.80,1.9
Schaeffler Ind,"4,054.00","3,924.00","4,037.40","3,962.10",75.30,1.9
MRF,"145,680.00","142,800.00","145,210.00","142,500.00","2,710.00",1.9
Ajanta Pharma,"2,580.00","2,496.40","2,548.90","2,502.70",46.20,1.85
UltraTechCement,"12,527.00","12,170.00","12,436.00","12,210.00",226.00,1.85
Jindal Steel,979.90,950.50,968.70,951.25,17.45,1.83
Deepak Nitrite,"2,012.00","1,959.90","1,994.90","1,959.20",35.70,1.82
SKF India,"5,049.80","4,850.00","4,969.60","4,881.80",87.80,1.8
UNO Minda,"1,103.50","1,082.30","1,098.60","1,079.30",19.30,1.79
Inox India,"1,288.00","1,244.80","1,266.90","1,244.80",22.10,1.78
SRF,"3,281.60","3,180.70","3,255.60","3,200.00",55.60,1.74
Chola Fin Hold,"2,231.60","2,085.00","2,148.80","2,112.00",36.80,1.74
Alok Industries,20.83,19.90,20.57,20.23,0.34,1.68
Biocon,372.20,362.50,368.55,362.50,6.05,1.67
Thermax,"3,494.00","3,349.60","3,412.20","3,356.70",55.50,1.65
GE Vernova TD,"2,398.90","2,335.00","2,388.00","2,349.80",38.20,1.63
Polycab,"6,778.00","6,638.00","6,768.00","6,664.00",104.00,1.56
DCM Shriram,"1,246.10","1,202.10","1,237.90","1,219.10",18.80,1.54
SUMITOMO,528.40,515.00,525.55,517.95,7.60,1.47
Shree Cements,"31,700.00","31,030.00","31,640.00","31,185.00",455.00,1.46
Maruti Suzuki,"12,643.00","12,359.00","12,622.00","12,442.00",180.00,1.45
Laurus Labs,761.75,742.00,756.75,746.05,10.70,1.43
Dalmia Bharat,"2,245.00","2,183.10","2,220.10","2,188.90",31.20,1.43
Linde India,"6,675.00","6,543.00","6,668.50","6,575.50",93.00,1.41
Zensar Tech,881.00,846.15,852.20,840.65,11.55,1.37
Alivus Life,"1,019.90",993.50,"1,011.50",998.50,13.00,1.3
AstraZeneca,"9,240.00","8,870.00","9,012.00","8,898.50",113.50,1.28
Global Health,"1,168.00","1,138.60","1,166.10","1,151.40",14.70,1.28
Trent,"6,252.00","6,063.00","6,222.50","6,144.00",78.50,1.28
Mahanagar Gas,"1,521.00","1,481.80","1,509.50","1,491.20",18.30,1.23
Wockhardt,"1,716.80","1,650.30","1,697.70","1,677.40",20.30,1.21
Sai Life Sci,838.50,769.60,789.10,779.80,9.30,1.19
NALCO,195.49,190.57,192.41,190.27,2.14,1.12
IEX,196.80,192.96,195.24,193.09,2.15,1.11
Dabur India,488.40,479.40,487.55,482.40,5.15,1.07
Ramco Cements,"1,101.90","1,069.50","1,088.40","1,077.20",11.20,1.04
HBL Eng,632.00,615.50,626.85,620.40,6.45,1.04
Colgate,"2,461.10","2,395.00","2,434.60","2,409.70",24.90,1.03
Jubilant Ing.,783.00,753.00,773.55,765.80,7.75,1.01
MRPL,147.50,142.80,144.23,142.79,1.44,1.01
Pidilite Ind,"3,081.00","3,015.60","3,076.60","3,045.80",30.80,1.01
Escorts Kubota,"3,426.10","3,326.10","3,352.40","3,319.60",32.80,0.99
Mastek,"2,461.20","2,415.30","2,448.60","2,425.10",23.50,0.97
ACC,"1,949.00","1,921.10","1,939.40","1,921.40",18.00,0.94
Vodafone Idea,7.60,7.35,7.52,7.45,0.07,0.94
Blue Dart,"7,080.00","6,750.00","6,910.00","6,846.50",63.50,0.93
Wipro,268.70,264.45,267.00,264.55,2.45,0.93
Apar Ind,"8,895.00","8,633.50","8,841.00","8,760.50",80.50,0.92
NAVA,606.80,590.05,598.50,593.05,5.45,0.92
