company_name,high,low,last_price,prev_close,change,percent_gain
Alok Industries,19.76,17.26,19.49,16.47,3.02,18.34
Data Patterns,"2,148.70","1,962.00","2,130.10","1,959.00",171.1,8.73
KFin Tech,"1,295.00","1,214.90","1,284.40","1,200.80",83.6,6.96
Trident,29.68,27.37,29.28,27.41,1.87,6.82
Asahi India,742.40,669.00,715.30,671.25,44.05,6.56
360 ONE WAM,"1,024.00",953.00,"1,013.90",954.25,59.65,6.25
360 ONE WAM,"1,024.00",953.00,"1,013.90",954.25,59.65,6.25
Apar Ind,"5,348.00","4,907.50","5,274.00","4,977.00",297,5.97
Motilal Oswal,730.00,681.00,724.40,685.05,39.35,5.74
IIFL Finance,375.00,343.80,367.20,347.35,19.85,5.71
Dixon Technolog,"16,828.00","15,875.00","16,675.00","15,816.00",859,5.43
JK Bank,116.40,106.54,114.14,108.27,5.87,5.42
Max Healthcare,"1,137.90","1,068.80","1,128.70","1,073.00",55.7,5.19
ITI,283.32,268.11,283.32,269.83,13.49,5
Quess Corp,362.35,335.00,362.35,345.10,17.25,5
Berger Paints,582.85,548.90,579.20,553.35,25.85,4.67
Phoenix Mills,"1,694.80","1,604.80","1,682.30","1,609.40",72.9,4.53
Balrampur Chini,595.10,570.60,591.60,566.05,25.55,4.51
Colgate,"2,674.20","2,534.10","2,658.80","2,544.00",114.8,4.51
Nippon,671.95,635.05,661.95,633.65,28.3,4.47
Syrma SGS,533.20,497.60,517.05,496.20,20.85,4.2
CG Consumer,355.50,340.35,353.15,339.45,13.7,4.04
Vijaya Diagnost,"1,180.00","1,095.10","1,144.20","1,100.20",44,4
Mahanagar Gas,"1,354.50","1,296.60","1,343.50","1,293.70",49.8,3.85
Emami,644.00,619.05,641.55,618.10,23.45,3.79
Tejas Networks,914.40,859.30,888.85,856.70,32.15,3.75
Godrej Ind,"1,190.00","1,122.10","1,170.40","1,128.30",42.1,3.73
Five-Star Busin,848.70,794.45,843.60,814.05,29.55,3.63
DOMS Industries,"3,064.60","2,900.00","3,000.60","2,898.60",102,3.52
UTI AMC,"1,157.00","1,062.50","1,107.80","1,070.50",37.3,3.48
Krishna Inst.,697.95,658.00,683.60,660.75,22.85,3.46
Krishna Inst.,697.95,658.00,683.60,660.75,22.85,3.46
ABSL AMC,682.60,645.00,665.95,644.10,21.85,3.39
SJVN,100.90,95.16,99.10,95.87,3.23,3.37
Elecon Eng,519.85,488.60,512.35,496.25,16.1,3.24
Elecon Eng,519.85,488.60,512.35,496.25,16.1,3.24
Jubilant Ing.,704.00,672.25,696.45,674.95,21.5,3.19
Tata Tech,711.80,679.00,705.75,683.95,21.8,3.19
CCL Products,641.45,614.55,638.95,619.35,19.6,3.16
Muthoot Finance,"2,304.00","2,227.00","2,272.70","2,203.60",69.1,3.14
Radico Khaitan,"2,520.00","2,440.60","2,512.00","2,436.30",75.7,3.11
Jyoti CNC Auto,"1,105.30","1,055.70","1,090.70","1,058.10",32.6,3.08
IGL,190.45,182.00,188.15,182.57,5.58,3.06
Metropolis,"1,759.00","1,693.80","1,752.70","1,700.90",51.8,3.05
Jyothy Labs,395.10,381.75,394.05,382.50,11.55,3.02
JM Financial,107.53,101.10,105.71,102.61,3.1,3.02
Varroc Engineer,455.00,436.85,451.65,438.45,13.2,3.01
Kirloskar Bros,"1,762.50","1,685.70","1,749.30","1,698.40",50.9,3
Aarti Ind,444.80,421.95,434.15,421.65,12.5,2.96
Godawari Power,200.00,194.00,198.48,192.77,5.71,2.96
Godawari Power,200.00,194.00,198.48,192.77,5.71,2.96
Shree Renuka,30.60,29.10,30.21,29.35,0.86,2.93
Solar Ind,"12,898.00","12,529.00","12,834.00","12,475.00",359,2.88
Central Bank,39.18,37.37,38.52,37.45,1.07,2.86
Rattanindia Ent,47.20,44.10,45.89,44.62,1.27,2.85
AstraZeneca,"9,088.00","8,655.00","8,971.50","8,727.50",244,2.8
Prestige Estate,"1,313.10","1,249.60","1,303.90","1,268.60",35.3,2.78
Poonawalla Fin,408.40,393.25,407.65,396.65,11,2.77
Engineers India,185.56,178.99,184.13,179.19,4.94,2.76
IDBI Bank,88.12,82.51,85.39,83.12,2.27,2.73
United Spirits,"1,560.00","1,516.70","1,557.60","1,516.70",40.9,2.7
SBFC Finance,104.95,100.00,104.28,101.54,2.74,2.7
Motherson SWI,55.79,53.72,55.53,54.09,1.44,2.66
Raymond,"1,658.00","1,546.00","1,576.90","1,536.00",40.9,2.66
Oberoi Realty,"1,723.30","1,638.90","1,699.70","1,656.20",43.5,2.63
Hitachi Energy,"13,857.00","13,353.00","13,802.00","13,453.00",349,2.59
Bombay Burmah,"1,980.90","1,909.90","1,970.30","1,920.60",49.7,2.59
Tata Elxsi,"5,495.50","5,268.50","5,480.00","5,342.00",138,2.58
ITC,434.80,423.55,433.60,422.85,10.75,2.54
Brigade Ent,"1,039.00","1,013.50","1,033.80","1,008.50",25.3,2.51
AAVAS Financier,"2,234.00","2,147.60","2,220.50","2,166.30",54.2,2.5
KEC Intl,756.50,717.00,741.20,723.20,18,2.49
NHPC,90.88,87.25,89.88,87.71,2.17,2.47
Sundaram Fin,"5,383.20","5,205.20","5,340.40","5,211.50",128.9,2.47
Godrej Prop,"2,099.00","2,011.50","2,095.00","2,044.70",50.3,2.46
Anant Raj,525.00,503.00,505.70,493.60,12.1,2.45
Astral Ltd,"1,397.70","1,338.00","1,368.60","1,336.70",31.9,2.39
Gillette India,"8,445.00","7,922.50","8,069.50","7,881.50",188,2.39
Nuvoco Vistas,334.90,315.55,333.60,325.90,7.7,2.36
Cera Sanitary,"5,830.50","5,640.50","5,803.00","5,670.00",133,2.35
Tube Investment,"2,680.90","2,558.00","2,654.10","2,593.30",60.8,2.34
Angel One,"2,552.50","2,454.20","2,520.70","2,463.30",57.4,2.33
Suven Pharma,"1,248.50","1,194.80","1,230.00","1,202.20",27.8,2.31
City Union Bank,185.28,177.57,183.54,179.42,4.12,2.3
TVS Supply,124.21,119.93,122.99,120.33,2.66,2.21
CenturyPlyboard,743.85,715.00,740.55,724.75,15.8,2.18
Sobha,"1,284.00","1,243.60","1,269.70","1,242.60",27.1,2.18
Avenue Supermar,"4,497.00","4,315.00","4,435.60","4,342.30",93.3,2.15
Devyani Int,176.20,169.00,175.67,172.12,3.55,2.06
Jindal Stainles,584.25,575.10,581.10,569.35,11.75,2.06
Oil India,406.80,391.70,404.00,395.85,8.15,2.06
KEI Industries,"2,974.90","2,883.00","2,955.60","2,896.10",59.5,2.05
HUL,"2,406.00","2,355.10","2,398.70","2,351.00",47.7,2.03
Voltas,"1,357.20","1,302.50","1,344.60","1,318.00",26.6,2.02
C. E. Info Syst,"1,834.40","1,780.60","1,823.40","1,787.50",35.9,2.01
Marico,716.40,694.10,709.15,695.15,14,2.01
Sapphire Foods,324.00,313.35,322.10,315.75,6.35,2.01
Sapphire Foods,324.00,313.35,322.10,315.75,6.35,2.01
Bata India,"1,233.40","1,206.10","1,227.00","1,203.20",23.8,1.98
NMDC Steel,37.96,36.75,37.35,36.64,0.71,1.94
J. K. Cement,"5,214.00","5,014.00","5,151.90","5,054.60",97.3,1.92
M&M,"2,822.00","2,756.00","2,817.10","2,764.00",53.1,1.92
Lupin,"2,061.00","1,987.00","2,046.70","2,009.20",37.5,1.87
Dabur India,485.75,475.50,484.40,475.55,8.85,1.86
Hind Copper,226.50,220.25,224.49,220.39,4.1,1.86
Triveni Engg,410.50,396.10,407.05,399.60,7.45,1.86
Aster DM Health,515.75,500.25,512.40,503.10,9.3,1.85
IOB,39.70,38.32,39.03,38.32,0.71,1.85
HDFC Bank,"1,970.60","1,935.00","1,961.70","1,927.10",34.6,1.8
Home First,"1,250.00","1,200.10","1,230.30","1,208.90",21.4,1.77
Laurus Labs,657.40,636.75,651.70,640.35,11.35,1.77
Grindwell Norto,"1,762.50","1,706.60","1,744.50","1,714.40",30.1,1.76
Polycab,"5,569.00","5,436.50","5,506.00","5,412.50",93.5,1.73
Sterling Wilson,319.60,309.10,314.35,309.00,5.35,1.73
Kaynes Tech,"6,159.70","5,908.30","5,979.30","5,879.00",100.3,1.71
Jio Financial,251.34,243.70,250.56,246.38,4.18,1.7
Carborundum,"1,073.10","1,029.20","1,058.00","1,040.40",17.6,1.69
Indian Renew,179.27,173.80,178.64,175.67,2.97,1.69
Canara Bank,102.63,99.30,100.66,99.00,1.66,1.68
Canara Bank,102.63,99.30,100.66,99.00,1.66,1.68
KSB Pumps,753.85,734.10,752.15,739.75,12.4,1.68
KSB Pumps,753.85,734.10,752.15,739.75,12.4,1.68
Piramal Pharma,226.80,219.70,224.46,220.76,3.7,1.68
V-Guard Ind,361.45,349.85,360.00,354.15,5.85,1.65
Firstsource Sol,347.70,341.10,346.05,340.45,5.6,1.64
Kansai Nerolac,271.18,262.06,269.95,265.68,4.27,1.61
Glenmark,"1,408.00","1,359.60","1,390.80","1,368.80",22,1.61
Godrej Agrovet,777.00,751.00,769.25,757.30,11.95,1.58
Tata Comm,"1,617.90","1,560.60","1,598.70","1,573.80",24.9,1.58
Global Health,"1,277.40","1,254.00","1,272.80","1,253.40",19.4,1.55
Macrotech Dev,"1,339.90","1,285.00","1,313.40","1,293.40",20,1.55
Syngene Intl,741.25,720.40,735.70,724.60,11.1,1.53
MMTC Ltd,56.37,54.71,55.74,54.91,0.83,1.51
Network 18,47.15,45.13,45.79,45.11,0.68,1.51
Pfizer,"4,269.30","4,163.20","4,254.50","4,191.40",63.1,1.51
HBL Eng,543.80,524.15,531.25,523.40,7.85,1.5
Star Health,402.95,390.05,400.80,394.90,5.9,1.49
Godrej Consumer,"1,247.40","1,214.00","1,231.40","1,213.40",18,1.48
Navin Fluorine,"4,349.00","4,207.00","4,275.00","4,213.90",61.1,1.45
SignatureGlobal,"1,167.50","1,140.50","1,156.80","1,140.40",16.4,1.44
MRPL,143.60,139.80,143.07,141.08,1.99,1.41
Whirlpool,"1,117.00","1,071.10","1,109.10","1,093.65",15.45,1.41
Schaeffler Ind,"3,345.00","3,255.10","3,336.20","3,290.10",46.1,1.4
TATA Cons. Prod,"1,149.00","1,118.20","1,136.70","1,121.00",15.7,1.4
APL Apollo,"1,647.40","1,590.40","1,621.60","1,599.50",22.1,1.38
Endurance Techn,"2,017.90","1,940.20","1,980.40","1,953.50",26.9,1.38
Ipca Labs,"1,475.00","1,400.00","1,443.50","1,423.80",19.7,1.38
Timken,"2,670.00","2,594.50","2,653.20","2,617.10",36.1,1.38
Eternal,243.45,235.00,237.47,234.24,3.23,1.38
DLF,693.00,668.20,685.00,675.90,9.1,1.35
BEML,"3,222.00","3,125.30","3,171.80","3,130.90",40.9,1.31
GNFC,519.50,507.15,514.30,507.65,6.65,1.31
Dr Lal PathLab,"2,785.00","2,723.60","2,762.10","2,727.20",34.9,1.28
Fortis Health,674.50,655.70,664.60,656.30,8.3,1.26
Persistent,"5,025.00","4,863.00","4,961.00","4,900.50",60.5,1.23
Persistent,"5,025.00","4,863.00","4,961.00","4,900.50",60.5,1.23
Saregama India,567.10,555.60,562.20,555.45,6.75,1.22
Kotak Mahindra,"2,301.90","2,245.40","2,268.80","2,241.40",27.4,1.22
Avanti Feeds,865.00,835.70,858.00,847.75,10.25,1.21
Bank of Baroda,257.28,249.79,252.45,249.42,3.03,1.21
LT Finance,174.69,169.44,173.33,171.26,2.07,1.21
Eris Life,"1,417.50","1,363.10","1,399.40","1,382.90",16.5,1.19
Indiamart Inter,"2,301.90","2,221.50","2,281.00","2,255.30",25.7,1.14
Indegene,587.95,567.00,574.10,567.65,6.45,1.14
Natco Pharma,843.80,825.05,839.30,829.80,9.5,1.14
Bharat Elec,304.75,299.75,303.35,299.95,3.4,1.13
Cipla,"1,534.70","1,502.70","1,528.20","1,511.10",17.1,1.13
Westlife Food,728.10,703.00,725.00,716.90,8.1,1.13
HDFC AMC,"4,529.40","4,435.30","4,509.60","4,459.80",49.8,1.12
Castrol,210.80,204.38,208.27,206.04,2.23,1.08
Havells India,"1,673.80","1,644.70","1,664.70","1,647.20",17.5,1.06
PNB,104.75,102.66,103.38,102.30,1.08,1.06
Elgi Equipments,467.30,450.50,459.55,454.80,4.75,1.04
Aditya Birla F,275.00,266.30,271.95,269.15,2.8,1.04
Siemens,"2,879.50","2,813.00","2,856.50","2,827.00",29.5,1.04
G R Infra,"1,132.00","1,102.40","1,120.50","1,109.10",11.4,1.03
Campus Active,251.86,243.57,248.40,245.88,2.52,1.02
IRB Infra,49.15,47.45,48.55,48.06,0.49,1.02
IRB Infra,49.15,47.45,48.55,48.06,0.49,1.02
Anand Rathi,"1,781.00","1,733.00","1,764.30","1,747.00",17.3,0.99
TataTeleservice,62.09,60.50,61.30,60.70,0.6,0.99
JSW Steel,"1,060.40","1,037.00","1,044.20","1,034.00",10.2,0.99
R R Kabel,975.95,951.25,967.75,958.45,9.3,0.97
Bajaj Holdings,"12,436.00","12,207.00","12,324.00","12,207.00",117,0.96
Atul,"6,045.00","5,860.00","6,030.50","5,974.00",56.5,0.95
ABB India,"5,704.00","5,591.50","5,682.50","5,629.00",53.5,0.95
Akums Drugs P,511.60,496.60,505.95,501.20,4.75,0.95
Sanofi India,"6,400.00","6,294.50","6,366.50","6,306.50",60,0.95
