company_name,high,low,last_price,prev_close,change,percent_gain
Ola Electric,53.79,45.40,53.21,44.83,8.38,18.69
Carborundum,"1,018.00",870.05,990.25,870.05,120.20,13.82
Godfrey Phillip,"11,450.00","9,835.50","11,064.00","9,805.50","1,258.50",12.83
Intellect Desig,995.40,905.00,987.70,906.50,81.20,8.96
Aegis Logistics,742.00,696.05,737.40,697.50,39.90,5.72
Rashtriya Chem,158.31,149.90,157.30,149.32,7.98,5.34
Reliance Power,47.71,46.35,47.71,45.44,2.27,5
Neuland Lab,"13,999.00","13,016.00","13,693.00","13,044.00",649.00,4.98
Latent View,437.85,408.15,427.35,407.85,19.50,4.78
Sonata,377.00,356.95,372.35,355.90,16.45,4.62
Lemon Tree,157.60,148.60,155.57,148.80,6.77,4.55
Swan Energy,467.95,431.30,455.45,436.05,19.40,4.45
Chalet Hotels,"1,020.50",955.00,998.00,956.40,41.60,4.35
EIH,404.00,385.25,401.50,385.20,16.30,4.23
Westlife Food,724.80,683.95,716.75,688.05,28.70,4.17
Honasa Consumer,299.00,285.15,297.45,285.65,11.80,4.13
Indian Hotels,811.50,775.50,806.80,775.15,31.65,4.08
Emami,629.90,599.45,626.55,602.15,24.40,4.05
Phoenix Mills,"1,574.40","1,503.30","1,563.50","1,503.30",60.20,4
Infosys,"1,499.00","1,440.70","1,496.20","1,440.00",56.20,3.9
Sundaram Fin,"5,225.00","4,900.10","5,126.10","4,935.90",190.20,3.85
Waaree Energies,"3,168.00","3,025.10","3,151.50","3,037.50",114.00,3.75
Britannia,"5,734.50","5,475.50","5,701.00","5,499.00",202.00,3.67
Colgate,"2,365.00","2,265.40","2,356.50","2,273.50",83.00,3.65
Fert and Chem,"1,023.25",976.00,"1,014.45",979.60,34.85,3.56
Poly Medicure,"1,983.60","1,891.00","1,966.80","1,900.40",66.40,3.49
MphasiS,"2,840.80","2,708.40","2,835.50","2,742.60",92.90,3.39
COFORGE LTD.,"1,721.00","1,632.70","1,708.40","1,652.70",55.70,3.37
Lodha Developer,"1,302.40","1,254.00","1,300.00","1,257.80",42.20,3.36
Raymond Life,"1,270.00","1,180.00","1,240.00","1,200.40",39.60,3.3
Marico,753.40,717.45,751.85,727.95,23.90,3.28
Bikaji Foods,803.80,772.45,797.40,772.45,24.95,3.23
Vodafone Idea,6.94,6.57,6.79,6.58,0.21,3.19
Inox India,"1,136.00","1,092.50","1,133.50","1,099.40",34.10,3.1
Jyothy Labs,351.55,335.10,347.50,337.05,10.45,3.1
Birlasoft,384.90,371.10,383.65,372.15,11.50,3.09
Brainbees Solu,399.90,371.90,383.50,372.45,11.05,2.97
SJVN,99.10,94.90,97.57,94.88,2.69,2.84
Concord Biotech,"1,701.50","1,646.70","1,693.40","1,646.80",46.60,2.83
Swiggy,422.70,406.35,421.05,409.70,11.35,2.77
TCS,"3,103.40","3,010.90","3,098.60","3,016.20",82.40,2.73
INDUS TOWERS,355.10,341.30,349.10,339.95,9.15,2.69
Aadhar Housing ,518.65,500.60,515.50,502.45,13.05,2.6
Ramco Cements,"1,120.00","1,078.60","1,114.60","1,086.50",28.10,2.59
HUL,"2,680.00","2,588.50","2,669.80","2,604.80",65.00,2.5
Nestle,"1,192.80","1,156.70","1,190.30","1,161.40",28.90,2.49
Nestle,"1,192.80","1,156.70","1,190.30","1,161.40",28.90,2.49
Dabur India,536.40,521.10,535.00,522.05,12.95,2.48
Varun Beverages,524.55,504.80,517.65,505.40,12.25,2.42
Varun Beverages,524.55,504.80,517.65,505.40,12.25,2.42
Varun Beverages,524.55,504.80,517.65,505.40,12.25,2.42
KPR Mill,"1,028.60","1,002.70","1,021.80",997.80,24.00,2.41
Chambal Fert,568.00,545.30,562.95,549.85,13.10,2.38
Motherson SWI,43.14,41.66,42.88,41.89,0.99,2.36
Emcure Pharmace,"1,511.30","1,466.70","1,504.50","1,470.20",34.30,2.33
Godrej Consumer,"1,252.00","1,211.00","1,246.90","1,218.70",28.20,2.31
ACME Solar,296.00,282.70,290.50,284.00,6.50,2.29
360 ONE WAM,"1,108.30","1,070.00","1,102.90","1,078.90",24.00,2.22
360 ONE WAM,"1,108.30","1,070.00","1,102.90","1,078.90",24.00,2.22
NTPC Green Ener,105.39,103.10,105.18,103.05,2.13,2.07
NTPC,343.40,336.50,342.00,335.05,6.95,2.07
Persistent,"5,370.00","5,200.00","5,345.00","5,236.50",108.50,2.07
Persistent,"5,370.00","5,200.00","5,345.00","5,236.50",108.50,2.07
Astral Ltd,"1,398.00","1,369.10","1,393.80","1,366.10",27.70,2.03
Techno Electric,"1,490.00","1,449.60","1,478.90","1,449.60",29.30,2.02
Vishal Mega Mar,152.30,147.62,150.17,147.21,2.96,2.01
PTC Industries,"13,700.00","13,251.00","13,661.00","13,402.00",259.00,1.93
Oracle Fin Serv,"8,848.00","8,550.00","8,763.00","8,597.00",166.00,1.93
Balrampur Chini,586.00,571.05,583.75,572.75,11.00,1.92
Dr Lal PathLab,"3,495.70","3,392.30","3,450.90","3,386.40",64.50,1.9
J. K. Cement,"7,565.50","7,304.50","7,539.00","7,398.50",140.50,1.9
GNFC,531.40,519.25,528.70,518.90,9.80,1.89
GAIL,179.39,174.89,178.12,174.89,3.23,1.85
Tech Mahindra,"1,532.00","1,487.40","1,524.10","1,496.70",27.40,1.83
Avenue Supermar,"4,759.90","4,630.10","4,737.90","4,653.20",84.70,1.82
TATA Cons. Prod,"1,106.90","1,078.90","1,105.30","1,085.80",19.50,1.8
One 97 Paytm,"1,254.40","1,220.40","1,248.00","1,226.20",21.80,1.78
Cummins,"3,836.00","3,729.50","3,818.40","3,752.00",66.40,1.77
Cyient,"1,234.90","1,206.10","1,230.60","1,209.20",21.40,1.77
Alkyl Amines,"2,145.00","2,081.50","2,140.60","2,104.10",36.50,1.73
Tata Steel,162.76,158.03,161.92,159.23,2.69,1.69
Interglobe Avi,"6,173.50","6,026.50","6,155.50","6,055.50",100.00,1.65
MM Financial,268.55,261.15,267.25,263.00,4.25,1.62
Angel One,"2,727.50","2,647.10","2,720.80","2,677.80",43.00,1.61
Fortis Health,966.00,943.00,963.95,948.90,15.05,1.59
Eternal,331.35,320.35,326.55,321.45,5.10,1.59
Godrej Prop,"2,047.30","2,000.40","2,041.80","2,010.00",31.80,1.58
Zensar Tech,821.40,790.20,815.20,802.60,12.60,1.57
Wipro,252.89,245.30,250.84,246.96,3.88,1.57
Can Fin Homes,783.85,765.80,780.10,768.10,12.00,1.56
NMDC,72.38,70.50,71.82,70.72,1.10,1.56
Coromandel Int,"2,460.00","2,362.00","2,419.20","2,382.40",36.80,1.54
MRF,"149,200.00","145,860.00","148,790.00","146,535.00","2,255.00",1.54
Devyani Int,170.25,164.45,169.65,167.09,2.56,1.53
Sarda Energy,619.00,577.20,599.55,590.55,9.00,1.52
Sarda Energy,619.00,577.20,599.55,590.55,9.00,1.52
Hitachi Energy,"20,445.00","19,780.00","20,000.00","19,705.00",295.00,1.5
Metropolis,"2,192.00","2,125.00","2,175.20","2,143.50",31.70,1.48
LT Technology,"4,246.90","4,155.00","4,233.60","4,173.20",60.40,1.45
Shree Renuka,30.14,29.21,29.89,29.47,0.42,1.43
Olectra Greente,"1,554.00","1,497.20","1,528.80","1,507.80",21.00,1.39
LTIMindtree,"5,240.00","5,079.50","5,180.50","5,111.00",69.50,1.36
HCL Tech,"1,500.30","1,458.00","1,496.00","1,476.10",19.90,1.35
Patanjali Foods,"1,820.50","1,785.70","1,813.80","1,789.80",24.00,1.34
Indiamart Inter,"2,638.00","2,592.00","2,623.60","2,589.40",34.20,1.32
Vedant Fashions,776.40,762.00,773.70,763.75,9.95,1.3
BASF,"4,597.50","4,486.50","4,584.80","4,526.40",58.40,1.29
Grasim,"2,883.60","2,807.40","2,864.90","2,828.30",36.60,1.29
Triveni Turbine,534.00,520.00,532.35,525.55,6.80,1.29
BSE Limited,"2,533.00","2,485.10","2,523.00","2,491.50",31.50,1.26
KPIT Tech,"1,221.40","1,193.60","1,214.60","1,199.50",15.10,1.26
Godawari Power,222.38,216.01,218.68,216.00,2.68,1.24
Godawari Power,222.38,216.01,218.68,216.00,2.68,1.24
M&M,"3,404.20","3,335.00","3,395.60","3,354.00",41.60,1.24
UNO Minda,"1,240.00","1,215.20","1,234.80","1,219.90",14.90,1.22
HFCL,75.73,74.05,75.27,74.38,0.89,1.2
ZFCVINDIA,"14,735.00","14,250.00","14,620.00","14,449.00",171.00,1.18
CreditAccess Gr,"1,375.00","1,333.00","1,363.40","1,347.90",15.50,1.15
Kirloskar Bros,"1,989.00","1,940.10","1,969.00","1,946.70",22.30,1.15
Redington,248.15,240.85,246.45,243.65,2.80,1.15
Aarti Ind,395.75,385.85,393.90,389.45,4.45,1.14
Deepak Fert,"1,498.40","1,460.00","1,491.80","1,475.40",16.40,1.11
IEX,144.15,140.73,143.15,141.59,1.56,1.1
Jindal Steel,"1,022.00",997.60,"1,016.25","1,005.25",11.00,1.09
ABB India,"5,140.50","5,070.00","5,121.50","5,068.00",53.50,1.06
Info Edge,"1,398.90","1,365.00","1,395.50","1,380.80",14.70,1.06
Premier Energie,"1,045.00","1,025.20","1,037.50","1,026.60",10.90,1.06
Castrol,209.74,206.37,208.87,206.75,2.12,1.03
Gujarat Pipavav,156.95,154.41,155.94,154.37,1.57,1.02
SignatureGlobal,"1,118.00","1,100.40","1,114.00","1,102.80",11.20,1.02
KEI Industries,"4,079.00","3,904.20","3,986.40","3,946.60",39.80,1.01
Whirlpool,"1,324.30","1,285.90","1,298.10","1,285.20",12.90,1
Bharti Airtel,"1,952.00","1,926.00","1,928.40","1,909.70",18.70,0.98
Firstsource Sol,375.50,363.15,370.65,367.10,3.55,0.97
IGIL,345.00,335.65,340.30,337.05,3.25,0.96
Nuvama Wealth,"6,877.50","6,670.00","6,854.50","6,789.50",65.00,0.96
Jindal Stainles,776.95,756.00,765.05,757.90,7.15,0.94
Sterling Wilson,283.00,274.55,277.90,275.30,2.60,0.94
Mazagon Dock,"2,796.00","2,722.00","2,772.90","2,747.40",25.50,0.93
Mazagon Dock,"2,796.00","2,722.00","2,772.90","2,747.40",25.50,0.93
Rail Vikas,332.00,324.50,330.80,327.75,3.05,0.93
Tata Tech,694.00,680.25,689.00,682.75,6.25,0.92
SAIL,125.83,122.00,124.09,122.98,1.11,0.9
Capri Global,194.70,188.50,189.76,188.08,1.68,0.89
Capri Global,194.70,188.50,189.76,188.08,1.68,0.89
Exide Ind,398.80,391.05,396.30,392.80,3.50,0.89
NAVA,599.40,589.35,597.35,592.10,5.25,0.89
Tube Investment,"3,251.70","3,136.30","3,180.00","3,152.40",27.60,0.88
TBO Tek,"1,475.00","1,449.20","1,468.00","1,455.20",12.80,0.88
UPL,730.30,702.00,713.45,707.30,6.15,0.87
EID Parry,"1,159.90","1,135.50","1,155.70","1,145.80",9.90,0.86
JSW Steel,"1,089.20","1,067.30","1,082.60","1,073.40",9.20,0.86
IOB,38.45,37.52,38.14,37.82,0.32,0.85
PI Industries,"3,821.90","3,742.50","3,796.80","3,765.00",31.80,0.84
Eris Life,"1,768.90","1,730.10","1,755.60","1,741.10",14.50,0.83
NMDC Steel,41.45,39.33,40.06,39.73,0.33,0.83
SUMITOMO,601.35,582.20,590.15,585.30,4.85,0.83
NHPC,83.55,81.84,82.76,82.09,0.67,0.82
ICICI Lombard ,"1,975.00","1,944.10","1,968.50","1,952.90",15.60,0.8
Rainbow Child,"1,585.00","1,569.80","1,580.10","1,568.00",12.10,0.77
Apollo Hospital,"7,918.00","7,812.50","7,883.00","7,823.50",59.50,0.76
Data Patterns,"2,578.50","2,505.60","2,560.30","2,541.00",19.30,0.76
Titan Company,"3,602.90","3,552.00","3,595.00","3,568.10",26.90,0.75
Chola Fin Hold,"1,866.30","1,822.30","1,861.60","1,848.20",13.40,0.73
Granules India,463.45,452.50,461.35,458.05,3.30,0.72
Trident,29.14,28.40,28.93,28.73,0.20,0.7
Siemens,"3,164.80","3,120.20","3,155.10","3,133.20",21.90,0.7
Escorts Kubota,"3,660.00","3,578.00","3,624.50","3,599.80",24.70,0.69
IDBI Bank,90.69,89.10,90.16,89.55,0.61,0.68
IRCTC,733.30,726.40,731.20,726.40,4.80,0.66
Kalyan Jeweller,514.00,504.40,510.60,507.35,3.25,0.64
Mah Seamless,686.95,675.00,681.50,677.15,4.35,0.64
GMR Airports,91.69,89.98,91.01,90.44,0.57,0.63
Timken,"2,971.00","2,930.60","2,957.60","2,939.40",18.20,0.62
TITAGARH,836.90,822.20,833.75,828.60,5.15,0.62
