company_name,high,low,last_price,prev_close,change,percent_gain
Poonawalla Fin,513.35,451.00,502.10,447.10,55,12.3
Tata Inv Corp,"7,545.50","7,021.00","7,502.50","7,041.50",461,6.55
Zen Tech,"1,621.30","1,555.00","1,621.30","1,544.10",77.2,5
Swan Corp,485.25,464.25,482.90,464.25,18.65,4.02
Biocon,369.80,358.00,368.40,354.35,14.05,3.97
Newgen Software,947.00,887.00,918.70,884.60,34.1,3.85
Netweb,"3,055.00","2,918.30","3,037.70","2,928.40",109.3,3.73
LIC Housing Fin,595.00,572.95,593.20,572.00,21.2,3.71
Escorts Kubota,"3,814.90","3,692.20","3,794.70","3,661.60",133.1,3.64
Poly Medicure,"2,107.80","2,003.10","2,065.40","1,996.60",68.8,3.45
Usha Martin,419.35,398.10,415.85,402.15,13.7,3.41
HFCL,78.71,75.29,77.64,75.12,2.52,3.35
Laurus Labs,926.30,885.80,923.25,893.95,29.3,3.28
Glenmark,"2,116.00","2,049.90","2,108.40","2,042.40",66,3.23
Natco Pharma,896.95,855.60,884.30,857.25,27.05,3.16
Sammaan Capital,139.96,135.18,139.19,135.07,4.12,3.05
Aurobindo Pharm,"1,132.00","1,095.80","1,128.90","1,095.70",33.2,3.03
Eternal,338.50,328.30,337.85,328.25,9.6,2.92
Mankind Pharma,"2,659.90","2,565.20","2,638.30","2,570.20",68.1,2.65
Hyundai Motor,"2,734.80","2,635.00","2,720.80","2,650.90",69.9,2.64
Sonata,421.50,391.20,400.50,390.20,10.3,2.64
Latent View,430.00,418.50,427.95,417.00,10.95,2.63
RBL Bank,273.20,262.70,271.20,264.40,6.8,2.57
PNB Housing Fin,866.95,843.20,861.30,840.60,20.7,2.46
AB Capital,293.35,286.00,290.90,283.95,6.95,2.45
Sagility India,47.20,45.60,46.48,45.37,1.11,2.45
KFin Tech,"1,148.00","1,117.70","1,144.80","1,117.60",27.2,2.43
LT Technology,"4,497.00","4,304.00","4,392.40","4,288.00",104.4,2.43
Shree Renuka,33.30,31.24,31.97,31.23,0.74,2.37
Elgi Equipments,513.30,496.75,505.85,494.45,11.4,2.31
Ipca Labs,"1,347.90","1,309.00","1,340.80","1,311.20",29.6,2.26
HDFC Life,789.65,766.20,784.60,768.05,16.55,2.15
CreditAccess Gr,"1,400.00","1,360.00","1,388.70","1,360.20",28.5,2.1
City Union Bank,208.80,202.80,207.49,203.36,4.13,2.03
Blue Dart,"5,897.50","5,756.50","5,861.00","5,747.50",113.5,1.97
Graphite India,576.25,553.60,565.45,554.55,10.9,1.97
Birlasoft,392.40,383.70,388.25,381.00,7.25,1.9
LTIMindtree,"5,619.00","5,451.00","5,524.50","5,423.00",101.5,1.87
L&T Finance,250.79,243.16,247.37,242.89,4.48,1.84
COFORGE LTD.,"1,827.40","1,803.10","1,824.50","1,791.90",32.6,1.82
Sun Pharma,"1,651.30","1,627.70","1,648.60","1,620.20",28.4,1.75
Asahi India,922.30,898.55,916.75,901.35,15.4,1.71
Zensar Tech,868.95,840.00,850.50,836.20,14.3,1.71
Max Healthcare,"1,176.70","1,145.10","1,173.40","1,153.80",19.6,1.7
KNR Construct,210.00,205.10,207.52,204.08,3.44,1.69
Syrma SGS,818.00,792.05,811.85,798.45,13.4,1.68
GNFC,517.70,506.40,516.20,507.75,8.45,1.66
New India Assur,198.50,192.01,195.95,192.78,3.17,1.64
Bandhan Bank,168.88,165.17,166.91,164.28,2.63,1.6
AU Small Financ,722.30,708.10,719.65,708.75,10.9,1.54
CAMS,"4,084.80","4,020.10","4,075.20","4,013.70",61.5,1.53
Exide Ind,425.85,417.90,425.15,418.80,6.35,1.52
Kansai Nerolac,254.00,249.07,253.25,249.49,3.76,1.51
Gland,"2,025.00","1,987.00","2,016.50","1,986.90",29.6,1.49
Torrent Power,"1,290.40","1,258.40","1,284.50","1,265.60",18.9,1.49
Ashok Leyland,139.50,135.72,138.76,136.77,1.99,1.45
IIFL Finance,456.15,444.90,449.50,443.30,6.2,1.4
Karur Vysya,220.29,215.00,218.93,215.91,3.02,1.4
MM Financial,290.80,280.05,285.95,282.00,3.95,1.4
Sona BLW,441.20,433.85,440.60,434.60,6,1.38
NMDC,77.10,75.48,76.73,75.69,1.04,1.37
Concord Biotech,"1,672.00","1,626.00","1,657.70","1,635.50",22.2,1.36
Zydus Life,"1,049.95","1,025.50","1,047.85","1,033.80",14.05,1.36
FSN E-Co Nykaa,246.90,242.15,245.93,242.64,3.29,1.36
Adani Energy,845.80,824.30,837.60,826.45,11.15,1.35
Jindal Steel,"1,052.55","1,030.30","1,047.65","1,033.65",14,1.35
Sobha,"1,651.90","1,598.30","1,629.30","1,607.60",21.7,1.35
TVS Motor,"3,552.50","3,491.10","3,546.60","3,500.10",46.5,1.33
NAVA,718.00,701.60,714.60,705.50,9.1,1.29
Intellect Desig,"1,060.00","1,028.00","1,040.05","1,027.05",13,1.27
Bank of Baroda,252.25,246.01,248.95,245.89,3.06,1.24
CDSL,"1,625.00","1,570.00","1,588.30","1,568.90",19.4,1.24
Dixon Technolog,"18,354.00","18,150.00","18,331.00","18,110.00",221,1.22
Infosys,"1,555.00","1,538.50","1,540.60","1,522.40",18.2,1.2
Cipla,"1,580.00","1,556.40","1,578.20","1,559.60",18.6,1.19
R R Kabel,"1,251.90","1,230.40","1,250.10","1,235.40",14.7,1.19
GE Shipping,"1,074.00","1,034.75","1,059.65","1,047.70",11.95,1.14
Max Financial,"1,558.70","1,534.90","1,555.40","1,538.00",17.4,1.13
Polycab,"7,452.00","7,350.00","7,440.50","7,359.00",81.5,1.11
Marico,724.10,713.40,719.75,711.90,7.85,1.1
Endurance Techn,"2,922.30","2,855.00","2,911.80","2,880.50",31.3,1.09
Wipro,259.80,256.00,256.93,254.15,2.78,1.09
HDFC Bank,979.65,969.25,976.90,966.50,10.4,1.08
Blue Star,"1,980.00","1,935.00","1,961.00","1,940.20",20.8,1.07
Syngene Intl,660.00,649.30,657.95,651.20,6.75,1.04
KPR Mill,"1,122.00","1,095.00","1,118.45","1,107.20",11.25,1.02
MCX India,"8,020.00","7,931.00","7,999.00","7,918.50",80.5,1.02
Inox India,"1,263.50","1,241.90","1,256.60","1,244.00",12.6,1.01
Indian Renew,159.29,154.20,155.53,153.97,1.56,1.01
Voltas,"1,430.40","1,402.50","1,426.20","1,411.90",14.3,1.01
Divis Labs,"6,129.50","6,042.00","6,112.00","6,051.50",60.5,1
SBI Life Insura,"1,831.00","1,795.30","1,821.80","1,804.00",17.8,0.99
Action Const,"1,156.00","1,119.00","1,145.10","1,134.30",10.8,0.95
Piramal Enter,"1,195.00","1,168.00","1,177.90","1,166.90",11,0.94
ABB India,"5,471.30","5,396.00","5,436.00","5,385.80",50.2,0.93
Shree Cements,"30,025.00","29,650.00","29,960.00","29,685.00",275,0.93
Avenue Supermar,"4,818.00","4,745.80","4,760.30","4,717.30",43,0.91
JSW Steel,"1,122.90","1,105.00","1,121.10","1,111.00",10.1,0.91
Vodafone Idea,7.93,7.72,7.84,7.77,0.07,0.9
Cochin Shipyard,"1,940.00","1,894.40","1,907.40","1,890.50",16.9,0.89
MRPL,132.20,130.25,131.09,129.93,1.16,0.89
Tata Elxsi,"5,782.00","5,691.00","5,733.50","5,683.00",50.5,0.89
Garden Reach Sh,"2,727.00","2,570.00","2,626.40","2,603.60",22.8,0.88
Dr Reddys Labs,"1,325.80","1,305.70","1,322.70","1,311.40",11.3,0.86
Route,890.00,870.20,875.40,867.90,7.5,0.86
Chola Invest.,"1,592.90","1,568.10","1,586.60","1,573.40",13.2,0.84
Alivus Life,952.00,935.75,946.85,939.00,7.85,0.84
HCL Tech,"1,502.90","1,486.10","1,493.80","1,481.50",12.3,0.83
IOC,147.27,145.51,147.15,145.94,1.21,0.83
ICICI Prudentia,609.75,600.75,605.00,600.10,4.9,0.82
Swiggy,445.00,436.25,444.50,440.95,3.55,0.81
Guj Mineral,559.80,537.20,552.05,547.70,4.35,0.79
Power Finance,411.65,405.75,408.00,404.80,3.2,0.79
Honeywell Autom,"37,900.00","37,360.00","37,600.00","37,305.00",295,0.79
Gravita India,"1,698.50","1,669.70","1,679.70","1,666.90",12.8,0.77
Phoenix Mills,"1,645.00","1,608.00","1,626.20","1,613.70",12.5,0.77
Angel One,"2,282.00","2,250.80","2,265.60","2,248.50",17.1,0.76
MphasiS,"3,037.20","2,973.20","3,000.60","2,978.10",22.5,0.76
Colgate,"2,369.40","2,342.90","2,365.60","2,347.80",17.8,0.76
Lupin,"2,050.00","2,022.60","2,046.60","2,031.20",15.4,0.76
Akums Drugs P,476.40,469.50,474.95,471.40,3.55,0.75
Dr Lal PathLab,"3,291.60","3,252.00","3,285.40","3,261.30",24.1,0.74
HINDPETRO,409.25,404.90,408.60,405.65,2.95,0.73
HDFC AMC,"5,870.50","5,806.50","5,850.00","5,808.00",42,0.72
ICICI Lombard ,"1,887.00","1,865.20","1,885.60","1,872.10",13.5,0.72
Firstsource Sol,379.70,369.00,374.55,371.90,2.65,0.71
Info Edge,"1,391.30","1,371.80","1,384.80","1,375.00",9.8,0.71
UNO Minda,"1,318.60","1,300.10","1,312.60","1,303.50",9.1,0.7
SignatureGlobal,"1,158.00","1,130.00","1,143.80","1,135.80",8,0.7
Chennai Petro,757.45,740.20,744.85,739.80,5.05,0.68
Power Grid Corp,289.85,286.10,289.10,287.15,1.95,0.68
HUL,"2,609.90","2,570.90","2,586.80","2,569.70",17.1,0.67
BPCL,326.15,321.00,325.70,323.55,2.15,0.66
Gujarat Fluoro,"3,747.70","3,666.00","3,713.60","3,690.60",23,0.62
Axis Bank,"1,134.40","1,121.20","1,133.00","1,126.00",7,0.62
IRCTC,736.45,730.40,735.40,730.95,4.45,0.61
Nuvama Wealth,"6,502.50","6,324.00","6,404.00","6,365.00",39,0.61
Patanjali Foods,607.00,600.20,606.00,602.30,3.7,0.61
Fortis Health,970.80,953.25,968.40,962.60,5.8,0.6
Bajaj Finserv,"2,075.00","2,045.00","2,069.20","2,057.00",12.2,0.59
One 97 Paytm,"1,236.30","1,218.10","1,229.30","1,222.10",7.2,0.59
Shriram Finance,631.00,620.00,626.90,623.25,3.65,0.59
Persistent,"5,644.00","5,526.00","5,567.50","5,535.50",32,0.58
CG Consumer,319.00,314.70,316.85,315.05,1.8,0.57
Thermax,"3,376.20","3,306.00","3,330.00","3,311.40",18.6,0.56
ITC,413.05,410.10,411.55,409.30,2.25,0.55
Oracle Fin Serv,"9,200.00","9,055.00","9,175.00","9,125.00",50,0.55
Welspun Corp,909.35,888.05,895.45,890.55,4.9,0.55
Sapphire Foods,324.95,319.55,323.10,321.35,1.75,0.54
Torrent Pharma,"3,573.20","3,537.50","3,567.40","3,548.30",19.1,0.54
Honasa Consumer,306.80,301.10,305.10,303.50,1.6,0.53
Muthoot Finance,"2,962.40","2,915.50","2,957.60","2,942.10",15.5,0.53
Niva Bupa Healt,82.90,81.80,82.09,81.66,0.43,0.53
Varun Beverages,475.50,464.60,473.55,471.05,2.5,0.53
JSW Energy,542.50,533.80,537.80,535.00,2.8,0.52
Eicher Motors,"6,935.00","6,868.50","6,924.50","6,890.50",34,0.49
GlaxoSmithKline,"2,775.00","2,719.90","2,755.40","2,742.00",13.4,0.49
JK Bank,105.50,103.05,104.56,104.05,0.51,0.49
Adani Ports,"1,415.00","1,401.00","1,412.80","1,406.10",6.7,0.48
Tata Tech,724.20,713.30,717.40,714.00,3.4,0.48
