company_name,high,low,last_price,prev_close,change,percent_gain
Medplus Health,827.70,730.35,813.10,689.75,123.35,17.88
eClerx Services,"1,548.95","1,419.95","1,538.30","1,411.15",127.15,9.01
Info Edge,"4,250.00","3,735.00","4,197.75","3,900.35",297.40,7.62
Zee Entertain,192.90,175.55,190.80,178.85,11.95,6.68
JM Financial,72.75,66.50,71.30,66.85,4.45,6.66
Borosil Renew,516.90,484.65,513.55,483.60,29.95,6.19
INDUS TOWERS,157.65,147.05,156.65,147.65,9.00,6.1
Phoenix Mills,"1,489.00","1,408.70","1,479.20","1,401.60",77.60,5.54
Macrotech Dev,"1,035.00",954.00,"1,020.25",968.00,52.25,5.4
Sonata,983.80,925.75,975.85,927.15,48.70,5.25
Varun Beverages,"1,747.00","1,625.00","1,701.95","1,617.65",84.30,5.21
HDFC AMC,"1,860.00","1,765.05","1,855.75","1,764.05",91.70,5.2
Cummins,"1,740.00","1,648.95","1,735.05","1,650.15",84.90,5.14
NALCO,85.95,80.60,84.60,80.55,4.05,5.03
Praj Industries,386.90,372.10,374.30,356.90,17.40,4.88
Emami,408.30,377.00,401.75,383.55,18.20,4.75
Zensar Tech,384.65,359.50,376.40,359.85,16.55,4.6
NIIT,415.00,388.00,404.65,387.40,17.25,4.45
Bharat Dynamics,"1,059.10",978.00,"1,051.75","1,007.20",44.55,4.42
Prince Pipes,624.90,605.00,610.30,585.55,24.75,4.23
Indiabulls Real,68.20,64.80,67.55,64.85,2.70,4.16
Hind Copper,107.10,102.95,106.90,102.85,4.05,3.94
Mastek,"2,014.95","1,918.00","1,990.30","1,914.95",75.35,3.93
COFORGE LTD.,"4,507.15","4,305.00","4,459.95","4,297.25",162.70,3.79
Godrej Ind,490.00,464.20,485.20,467.55,17.65,3.77
CG Power ,389.25,373.30,387.00,373.25,13.75,3.68
Triveni Engg,281.40,270.10,274.30,264.75,9.55,3.61
Angel One,"1,284.40","1,235.05","1,277.80","1,233.55",44.25,3.59
Indigo Paints,"1,525.00","1,453.80","1,507.40","1,458.95",48.45,3.32
Quess Corp,396.15,379.45,394.35,381.70,12.65,3.31
CRISIL,"3,720.00","3,583.75","3,701.65","3,583.75",117.90,3.29
Jubilant Ing.,400.00,384.55,398.40,385.80,12.60,3.27
PVR INOX,"1,407.50","1,352.55","1,404.45","1,361.30",43.15,3.17
Jamna Auto,105.30,100.80,103.85,100.80,3.05,3.03
Shree Cements,"25,086.70","24,178.00","24,977.00","24,247.10",729.90,3.01
Marico,545.00,528.40,544.10,528.40,15.70,2.97
UTI AMC,691.00,664.90,687.70,667.90,19.80,2.96
PNB Housing Fin,475.50,462.00,473.80,460.50,13.30,2.89
Tata Elxsi,"7,549.00","7,288.05","7,467.10","7,261.00",206.10,2.84
Bank of India,75.00,72.60,74.55,72.50,2.05,2.83
Reliance,"2,509.00","2,450.75","2,506.50","2,439.95",66.55,2.73
JK Paper,337.70,328.15,336.30,327.40,8.90,2.72
IDFC First Bank,70.00,68.10,69.85,68.00,1.85,2.72
Sun Pharma,976.70,937.00,969.90,945.00,24.90,2.63
IOB,24.50,23.60,24.30,23.70,0.60,2.53
Bajaj Holdings,"7,129.90","6,900.00","7,095.30","6,922.30",173.00,2.5
Pidilite Ind,"2,591.30","2,521.00","2,586.15","2,523.25",62.90,2.49
Metropolis,"1,289.90","1,253.15","1,284.80","1,253.95",30.85,2.46
Nippon,237.20,231.05,236.70,231.10,5.60,2.42
Atul,"6,830.00","6,623.35","6,792.75","6,635.90",156.85,2.36
MMTC Ltd,30.95,29.70,30.40,29.70,0.70,2.36
Canara Bank,307.75,300.15,306.70,299.65,7.05,2.35
Hindalco,415.30,403.10,413.55,404.25,9.30,2.3
Divis Labs,"3,520.00","3,425.20","3,514.00","3,435.65",78.35,2.28
Dabur India,543.70,528.50,542.10,530.15,11.95,2.25
CHEMPLAST SANMA,450.00,432.05,442.55,432.90,9.65,2.23
Delhivery,373.50,361.30,371.65,363.55,8.10,2.23
General Insuran,184.95,178.60,181.55,177.60,3.95,2.22
Devyani Int,190.90,182.95,187.10,183.10,4.00,2.18
HUL,"2,656.70","2,603.10","2,652.35","2,597.25",55.10,2.12
MphasiS,"1,992.45","1,944.00","1,974.70","1,933.90",40.80,2.11
Tube Investment,"2,784.80","2,705.00","2,781.60","2,724.25",57.35,2.11
Rain Industries,151.60,147.10,150.50,147.40,3.10,2.1
HCL Tech,"1,140.35","1,114.00","1,139.20","1,116.00",23.20,2.08
Bharat Rasayan,"10,335.00","10,011.95","10,302.70","10,094.85",207.85,2.06
United Spirits,860.70,838.10,858.65,841.30,17.35,2.06
Sheela Foam,"1,033.50",996.15,"1,020.35",999.75,20.60,2.06
Sona BLW,547.80,530.05,539.15,528.35,10.80,2.04
Suzlon Energy,10.15,9.45,10.00,9.80,0.20,2.04
L&T Technology,"3,890.00","3,811.30","3,878.25","3,801.50",76.75,2.02
Godrej Consumer,"1,052.00","1,030.20","1,049.95","1,029.40",20.55,2
Godfrey Phillip,"1,819.00","1,765.00","1,812.40","1,777.55",34.85,1.96
Mazagon Dock,774.00,753.10,768.80,754.10,14.70,1.95
Radico Khaitan,"1,174.85","1,096.40","1,161.45","1,139.25",22.20,1.95
Gujarat Gas,500.90,489.55,498.25,488.75,9.50,1.94
Avenue Supermar,"3,512.00","3,442.10","3,501.75","3,435.35",66.40,1.93
Wipro,402.55,395.00,401.70,394.10,7.60,1.93
PI Industries,"3,498.00","3,383.85","3,478.55","3,413.00",65.55,1.92
Jindal Steel,522.50,508.25,520.35,510.60,9.75,1.91
Just Dial,725.00,692.05,705.10,691.95,13.15,1.9
IFB Industries,840.50,818.00,834.45,819.00,15.45,1.89
Rajesh Exports,577.45,557.05,572.05,561.60,10.45,1.86
LTIMindtree,"5,019.00","4,925.00","5,001.10","4,910.55",90.55,1.84
ICICI Lombard ,"1,104.90","1,079.80","1,099.95","1,080.30",19.65,1.82
UPL,688.95,676.00,688.10,675.80,12.30,1.82
C. E. Info Syst,"1,110.00","1,067.70","1,084.10","1,064.80",19.30,1.81
Indiabulls Hsg,116.20,111.70,113.55,111.55,2.00,1.79
Dixon Technolog,"3,684.25","3,570.05","3,661.20","3,597.85",63.35,1.76
ICICI Prudentia,447.75,437.50,445.95,438.25,7.70,1.76
Restaurant Bran,108.80,105.45,107.60,105.75,1.85,1.75
Mahindra Life,407.80,395.05,406.25,399.25,7.00,1.75
Latent View,333.45,324.00,330.75,325.20,5.55,1.71
Max Financial,689.00,676.15,687.00,675.45,11.55,1.71
SRF,"2,522.00","2,465.00","2,515.40","2,473.55",41.85,1.69
Aurobindo Pharm,618.00,591.25,614.85,605.00,9.85,1.63
Federal Bank,125.40,123.40,125.25,123.25,2.00,1.62
Vedant Fashions,"1,285.00","1,254.60","1,274.90","1,254.60",20.30,1.62
ABB India,"4,012.30","3,950.00","4,004.75","3,941.95",62.80,1.59
Welspun Corp,246.00,238.55,242.55,238.75,3.80,1.59
SBI Life Insura,"1,203.70","1,173.15","1,195.75","1,177.35",18.40,1.56
India Cements,188.35,184.75,187.85,185.00,2.85,1.54
MCX India,"1,370.00","1,345.00","1,367.50","1,346.85",20.65,1.53
Birla Corp,"1,024.00",995.65,"1,010.15",995.00,15.15,1.52
Tech Mahindra,"1,120.40","1,099.00","1,114.75","1,098.10",16.65,1.52
Triveni Turbine,403.00,394.95,400.05,394.05,6.00,1.52
Natco Pharma,640.00,617.40,629.80,620.55,9.25,1.49
Tata Steel,106.75,104.95,106.40,104.85,1.55,1.48
Tata Steel,106.75,104.95,106.40,104.85,1.55,1.48
Jubilant Pharmo,363.80,354.40,362.90,357.65,5.25,1.47
Polyplex Corp,"1,384.70","1,340.00","1,366.35","1,346.75",19.60,1.46
Equitas Bank,84.70,82.10,84.40,83.20,1.20,1.44
City Union Bank,140.50,137.45,139.40,137.45,1.95,1.42
Tata Chemicals,972.25,955.00,970.25,956.70,13.55,1.42
PNB,50.50,49.70,50.35,49.65,0.70,1.41
Astral Ltd,"1,779.90","1,748.05","1,776.35","1,751.95",24.40,1.39
Granules India,277.85,272.35,276.85,273.05,3.80,1.39
Bata India,"1,586.30","1,560.00","1,581.90","1,560.80",21.10,1.35
Campus Active,363.90,355.55,359.95,355.15,4.80,1.35
Dalmia Bharat,"2,073.75","2,032.00","2,068.70","2,041.15",27.55,1.35
SUMITOMO,399.00,392.00,398.35,393.05,5.30,1.35
Anupam Rasayan,"1,223.25","1,198.00","1,219.80","1,203.75",16.05,1.33
Bharat Forge,768.60,756.00,767.45,757.45,10.00,1.32
Cochin Shipyard,482.00,470.00,479.20,472.95,6.25,1.32
Escorts Kubota,"2,078.80","2,040.00","2,074.70","2,047.60",27.10,1.32
UltraTechCement,"7,750.00","7,633.90","7,721.85","7,621.75",100.10,1.31
Finolex Ind,181.50,174.40,179.95,177.65,2.30,1.29
Avanti Feeds,382.40,375.05,380.20,375.40,4.80,1.28
Ambuja Cements,425.65,417.50,424.55,419.20,5.35,1.28
Maruti Suzuki,"9,415.00","9,311.25","9,399.95","9,281.85",118.10,1.27
SKF India,"4,410.00","4,315.00","4,393.75","4,338.85",54.90,1.27
Titan Company,"2,759.70","2,699.15","2,742.15","2,707.95",34.20,1.26
Persistent,"5,160.00","5,031.40","5,088.95","5,026.50",62.45,1.24
Dilip Buildcon,171.45,167.60,169.30,167.25,2.05,1.23
United Brewerie,"1,465.75","1,443.55","1,459.80","1,442.05",17.75,1.23
Colgate,"1,603.00","1,577.25","1,600.50","1,581.20",19.30,1.22
Birlasoft,344.00,335.20,339.50,335.40,4.10,1.22
Bank of Mah,29.35,28.80,29.25,28.90,0.35,1.21
Redington,173.00,170.10,171.95,169.90,2.05,1.21
PNC Infratech,316.90,311.25,315.25,311.50,3.75,1.2
TATA Cons. Prod,791.00,781.15,789.70,780.30,9.40,1.2
MRF,"98,171.00","96,601.15","97,881.80","96,727.35","1,154.45",1.19
IOC,90.30,89.00,90.20,89.15,1.05,1.18
Grindwell Norto,"2,075.00","2,027.20","2,063.90","2,040.50",23.40,1.15
ICICI Bank,952.45,935.55,950.70,939.85,10.85,1.15
J. K. Cement,"3,036.80","2,955.00","3,007.70","2,973.55",34.15,1.15
Indiamart Inter,"5,619.85","5,456.65","5,559.90","5,498.55",61.35,1.12
Sanofi India,"6,910.00","6,661.00","6,850.10","6,775.40",74.70,1.1
Sun TV Network,451.10,439.10,445.50,440.70,4.80,1.09
AU Small Financ,780.00,766.05,778.20,769.90,8.30,1.08
Coromandel Int,939.90,921.30,937.45,927.50,9.95,1.07
TCS,"3,338.65","3,291.00","3,328.90","3,293.50",35.40,1.07
3M India,"24,600.00","23,823.85","24,216.55","23,962.05",254.50,1.06
Eicher Motors,"3,697.50","3,610.00","3,690.35","3,651.50",38.85,1.06
TCNS Clothing C,418.30,411.10,416.85,412.55,4.30,1.04
Rallis India,193.45,189.55,192.40,190.45,1.95,1.02
HLE Glascoat,616.15,600.50,606.65,600.50,6.15,1.02
HLE Glascoat,616.15,600.50,606.65,600.50,6.15,1.02
Sunteck Realty,295.65,291.00,294.20,291.25,2.95,1.01
Union Bank,70.45,69.45,70.00,69.30,0.70,1.01
Bharat Elec,111.00,109.10,110.70,109.60,1.10,1
Infosys,"1,323.45","1,306.00","1,317.45","1,304.35",13.10,1
Garware Technic,"3,032.50","2,955.00","3,020.25","2,990.70",29.55,0.99
Trent,"1,533.65","1,493.05","1,530.20","1,515.25",14.95,0.99
KEC Intl,532.40,518.15,528.35,523.20,5.15,0.98
Go Fashion,"1,120.00","1,090.50","1,115.10","1,104.40",10.70,0.97
Sun Pharma Adv,184.50,181.15,182.45,180.70,1.75,0.97
Balkrishna Ind,"2,491.95","2,401.50","2,469.20","2,445.75",23.45,0.96
Bank of Baroda,184.70,181.45,183.55,181.80,1.75,0.96
IRCTC,625.70,619.30,624.35,618.55,5.80,0.94
Bajaj Finance,"6,920.00","6,841.20","6,904.50","6,841.15",63.35,0.93
Siemens,"3,545.00","3,478.95","3,519.40","3,487.25",32.15,0.92
Apollo Hospital,"4,620.00","4,551.25","4,609.90","4,568.15",41.75,0.91
Galaxy Surfacta,"2,551.35","2,480.00","2,540.20","2,517.65",22.55,0.9
HDFC Life,578.85,569.35,577.20,572.05,5.15,0.9
Endurance Techn,"1,447.75","1,404.20","1,415.40","1,402.90",12.50,0.89
Poly Medicure,978.00,970.00,975.20,966.60,8.60,0.89
Indian Hotels,386.00,381.10,383.95,380.60,3.35,0.88
RBL Bank,149.40,146.45,148.35,147.05,1.30,0.88
Rail Vikas,118.20,114.75,115.85,114.85,1.00,0.87
Oracle Fin Serv,"3,622.95","3,550.15","3,596.80","3,565.70",31.10,0.87
Berger Paints,648.50,638.05,647.10,641.60,5.50,0.86
Mahindra Holida,289.10,282.50,286.50,284.05,2.45,0.86
Apollo Tyres,393.90,389.20,392.50,389.20,3.30,0.85
Bosch,"18,988.50","18,772.00","18,941.70","18,781.15",160.55,0.85
Castrol,114.50,113.20,113.85,112.90,0.95,0.84
Havells India,"1,292.40","1,275.00","1,289.15","1,278.40",10.75,0.84
Bajaj Finserv,"1,446.30","1,431.00","1,439.15","1,427.35",11.80,0.83
Bajaj Finserv,"1,446.30","1,431.00","1,439.15","1,427.35",11.80,0.83
Lakshmi Machine,"11,700.20","11,392.25","11,604.35","11,508.55",95.80,0.83
SBI,587.75,580.55,586.00,581.25,4.75,0.82
Tata Coffee,229.65,227.00,228.85,227.05,1.80,0.79
Rattanindia Ent,38.65,38.25,38.50,38.20,0.30,0.79
TVS Motor,"1,301.00","1,270.35","1,293.20","1,283.10",10.10,0.79
Kotak Mahindra,"1,949.95","1,923.50","1,945.05","1,929.95",15.10,0.78
ABSL AMC,353.95,344.55,347.50,344.85,2.65,0.77
Interglobe Avi,"2,327.00","2,292.95","2,323.35","2,305.70",17.65,0.77
Tata Comm,"1,275.75","1,257.80","1,270.50","1,260.75",9.75,0.77
Central Bank,26.85,26.40,26.65,26.45,0.20,0.76
Tata Inv Corp,"2,255.90","2,216.10","2,237.85","2,221.05",16.80,0.76
Carborundum,"1,169.60","1,144.70","1,162.00","1,153.35",8.65,0.75
Procter&Gamble,"5,195.00","5,112.10","5,170.05","5,132.25",37.80,0.74
Happiest Minds ,898.60,880.55,888.45,881.90,6.55,0.74
SBI Card,903.00,889.75,901.50,894.85,6.65,0.74
Syngene Intl,723.80,710.85,718.05,712.75,5.30,0.74
Whirlpool,"1,445.00","1,412.65","1,436.50","1,426.15",10.35,0.73
Britannia,"4,624.20","4,563.15","4,596.20","4,563.30",32.90,0.72
JSW Steel,705.45,694.15,701.70,696.65,5.05,0.72
Vodafone Idea,7.20,7.00,7.05,7.00,0.05,0.71
Krishna Inst.,"1,615.00","1,585.30","1,603.95","1,592.85",11.10,0.7
Tata Motors,519.75,512.20,518.45,514.85,3.60,0.7
Tata Motors,519.75,512.20,518.45,514.85,3.60,0.7
IDFC,95.65,94.20,95.10,94.45,0.65,0.69
UNO Minda,547.95,537.15,545.95,542.20,3.75,0.69
Supreme Ind,"2,847.00","2,795.60","2,820.45","2,801.20",19.25,0.69
KEI Industries,"2,015.00","1,980.00","2,001.75","1,988.60",13.15,0.66
Ratnamani Metal,"2,334.90","2,289.25","2,327.50","2,312.25",15.25,0.66
Tata Power,213.80,210.65,212.20,210.80,1.40,0.66
V-Guard Ind,251.00,247.00,250.15,248.50,1.65,0.66
Alkem Lab,"3,368.50","3,309.95","3,345.85","3,324.40",21.45,0.65
LIC Housing Fin,378.30,373.55,377.50,375.05,2.45,0.65
Max Healthcare,556.95,535.00,540.20,536.70,3.50,0.65
Yes Bank,15.65,15.50,15.60,15.50,0.10,0.65
Container Corp,674.90,664.15,672.75,668.45,4.30,0.64
Fert and Chem,304.75,297.15,298.30,296.40,1.90,0.64
Axis Bank,927.90,915.00,926.95,921.05,5.90,0.64
MOIL,162.00,158.00,159.55,158.55,1.00,0.63
Motherson SWI,56.80,55.90,56.25,55.90,0.35,0.63
Vedanta,298.20,295.50,297.65,295.80,1.85,0.63
Cipla,952.75,940.50,951.35,945.45,5.90,0.62
Larsen,"2,220.75","2,201.00","2,218.45","2,204.70",13.75,0.62
Orient Electric,238.50,230.50,236.80,235.35,1.45,0.62
Coal India,242.45,239.10,241.50,240.05,1.45,0.6
Dr Reddys Labs,"4,539.00","4,499.95","4,530.95","4,503.95",27.00,0.6
Shriram Finance,"1,386.15","1,365.00","1,383.60","1,375.35",8.25,0.6
NHPC,43.15,42.55,42.95,42.70,0.25,0.59
Chambal Fert,287.65,282.20,286.60,285.00,1.60,0.56
ITC,444.75,439.50,443.60,441.15,2.45,0.56
Chola Fin Hold,853.00,835.00,842.35,837.70,4.65,0.56
Gland,932.00,912.10,929.25,924.15,5.10,0.55
Easy Trip,47.40,46.60,46.95,46.70,0.25,0.54
Easy Trip,47.40,46.60,46.95,46.70,0.25,0.54
Jindal Stainles,294.15,286.50,290.20,288.65,1.55,0.54
TeamLease Ser.,"2,248.95","2,208.05","2,241.00","2,228.90",12.10,0.54
Aether Ind,922.55,902.00,905.95,901.15,4.80,0.53
CCL Products,622.95,609.00,617.35,614.10,3.25,0.53
Brigade Ent,556.25,537.60,542.05,539.30,2.75,0.51
Zydus Life,513.75,504.30,508.25,505.70,2.55,0.5
Nestle,"21,629.00","21,370.00","21,581.75","21,474.90",106.85,0.5
Timken,"3,159.30","3,112.00","3,137.00","3,121.60",15.40,0.49
Vijaya Diagnost,380.00,371.60,376.05,374.20,1.85,0.49
Godrej Prop,"1,379.50","1,360.00","1,372.10","1,365.60",6.50,0.48
EIH,207.85,204.05,204.95,204.00,0.95,0.47
Exide Ind,211.25,207.85,209.15,208.20,0.95,0.46
JB Chemicals,"2,084.15","2,014.05","2,064.25","2,054.85",9.40,0.46
Hero Motocorp,"2,749.90","2,713.60","2,745.15","2,732.80",12.35,0.45
Dhani Services,35.40,34.65,34.80,34.65,0.15,0.43
Kalyan Jeweller,106.70,105.15,105.65,105.20,0.45,0.43
