company_name,high,low,last_price,prev_close,change,percent_gain
Mastek,"2,818.00","2,544.00","2,669.80","2,493.50",176.3,7.07
Eternal,277.00,256.65,271.70,257.20,14.5,5.64
Jyoti CNC Auto,"1,084.00","1,020.00","1,075.20","1,020.70",54.5,5.34
Persistent,"5,806.00","5,560.00","5,779.00","5,547.50",231.5,4.17
Persistent,"5,806.00","5,560.00","5,779.00","5,547.50",231.5,4.17
Apar Ind,"9,312.00","8,899.00","9,258.00","8,902.00",356,4
UPL,717.55,682.45,713.75,686.85,26.9,3.92
ACME Solar,288.60,274.41,286.27,275.54,10.73,3.89
MMTC,72.00,67.52,70.68,68.10,2.58,3.79
NALCO,196.00,190.43,194.99,188.02,6.97,3.71
LT Finance,212.85,201.31,210.58,203.15,7.43,3.66
ABB India,"5,845.50","5,635.50","5,836.00","5,646.50",189.5,3.36
GE Vernova TD,"2,474.70","2,325.00","2,437.40","2,358.20",79.2,3.36
Tata Inv Corp,"6,950.00","6,476.00","6,759.50","6,541.00",218.5,3.34
Jindal Stainles,704.00,679.90,697.85,676.55,21.3,3.15
BSE Limited,"2,535.00","2,433.10","2,521.30","2,448.50",72.8,2.97
Authum Invest,"2,890.00","2,737.80","2,885.00","2,804.80",80.2,2.86
JSW Infra,317.70,306.20,316.75,307.95,8.8,2.86
Tanla Platforms,690.00,654.40,674.80,656.05,18.75,2.86
ICICI Bank,"1,467.70","1,437.00","1,465.80","1,425.80",40,2.81
Bharat Dynamics,"1,726.50","1,647.20","1,718.40","1,671.60",46.8,2.8
Bharat Dynamics,"1,726.50","1,647.20","1,718.40","1,671.60",46.8,2.8
Deepak Fert,"1,642.70","1,572.00","1,625.70","1,581.40",44.3,2.8
Ambuja Cements,614.90,597.15,613.25,596.70,16.55,2.77
Sun TV Network,593.00,571.85,591.70,575.75,15.95,2.77
UTI AMC,"1,485.00","1,418.00","1,471.10","1,431.60",39.5,2.76
Raymond,753.00,716.30,738.50,718.80,19.7,2.74
Amara Raja,"1,022.00",971.60,"1,003.00",976.45,26.55,2.72
Nippon,873.35,835.75,863.20,841.45,21.75,2.58
Info Edge,"1,414.80","1,363.20","1,399.80","1,364.80",35,2.56
AB Capital,272.40,262.95,271.05,264.35,6.7,2.53
ABSL AMC,892.00,860.20,885.80,864.35,21.45,2.48
Shree Cements,"31,595.00","30,880.00","31,535.00","30,790.00",745,2.42
Motilal Oswal,939.95,909.15,933.50,911.60,21.9,2.4
Cummins,"3,632.00","3,515.00","3,617.90","3,536.00",81.9,2.32
Aadhar Housing ,525.65,507.65,516.35,504.70,11.65,2.31
Zensar Tech,850.50,819.00,845.45,826.40,19.05,2.31
PB Fintech,"1,809.50","1,737.60","1,801.90","1,762.40",39.5,2.24
HDFC Bank,"2,002.00","1,976.50","2,000.50","1,957.40",43.1,2.2
Kajaria Ceramic,"1,264.00","1,228.60","1,253.10","1,226.20",26.9,2.19
Aegis Logistics,758.90,733.35,757.00,741.15,15.85,2.14
Hindustan Aeron,"4,758.10","4,633.00","4,751.00","4,651.70",99.3,2.13
Hindustan Aeron,"4,758.10","4,633.00","4,751.00","4,651.70",99.3,2.13
Gujarat Fluoro,"3,585.00","3,420.20","3,573.20","3,499.30",73.9,2.11
Hind Zinc,447.20,434.80,444.65,435.50,9.15,2.1
Syngene Intl,673.00,653.60,671.05,657.25,13.8,2.1
Ashok Leyland,125.25,121.70,124.80,122.25,2.55,2.09
Suzlon Energy,66.50,65.00,66.42,65.06,1.36,2.09
Ircon Internati,195.25,190.00,190.78,186.90,3.88,2.08
Ircon Internati,195.25,190.00,190.78,186.90,3.88,2.08
Star Health,444.00,429.60,442.40,433.40,9,2.08
ICICI Lombard ,"1,959.70","1,912.80","1,952.20","1,912.80",39.4,2.06
Navin Fluorine,"5,010.00","4,834.20","4,969.50","4,869.30",100.2,2.06
Craftsman,"6,554.00","6,414.00","6,532.00","6,402.50",129.5,2.02
Dixon Technolog,"16,320.00","15,860.00","16,281.00","15,960.00",321,2.01
NBCC (India),116.08,112.10,115.31,113.05,2.26,2
CG Power ,682.50,663.90,680.65,667.60,13.05,1.95
CDSL,"1,736.00","1,690.30","1,731.50","1,698.50",33,1.94
Schaeffler Ind,"4,374.90","4,170.90","4,282.20","4,202.00",80.2,1.91
CreditAccess Gr,"1,299.90","1,252.10","1,293.80","1,269.70",24.1,1.9
JB Chemicals,"1,689.00","1,640.00","1,684.80","1,654.10",30.7,1.86
JB Chemicals,"1,689.00","1,640.00","1,684.80","1,654.10",30.7,1.86
Vedanta,456.50,448.65,453.85,445.80,8.05,1.81
Delhivery,433.90,422.25,433.10,425.45,7.65,1.8
HDFC Life,753.50,732.85,752.30,739.50,12.8,1.73
M&M,"3,253.60","3,152.80","3,246.70","3,192.40",54.3,1.7
Sona BLW,496.45,484.05,487.90,479.75,8.15,1.7
Bharti Hexacom,"1,837.00","1,771.20","1,822.60","1,792.40",30.2,1.68
Polycab,"7,061.00","6,822.50","7,042.00","6,926.00",116,1.67
BHEL,255.40,248.30,254.65,250.50,4.15,1.66
Godrej Prop,"2,407.00","2,353.40","2,403.90","2,365.40",38.5,1.63
IGIL,403.00,386.25,396.45,390.15,6.3,1.61
One 97 Paytm,"1,021.50",998.00,"1,017.70","1,001.60",16.1,1.61
360 ONE WAM,"1,228.80","1,186.50","1,221.20","1,202.20",19,1.58
360 ONE WAM,"1,228.80","1,186.50","1,221.20","1,202.20",19,1.58
APL Apollo,"1,703.00","1,655.20","1,692.50","1,666.40",26.1,1.57
Shriram Finance,658.00,637.50,655.65,645.50,10.15,1.57
Shriram Finance,658.00,637.50,655.65,645.50,10.15,1.57
AWL Agri,281.90,273.05,278.80,274.55,4.25,1.55
Swiggy,400.80,380.10,394.75,388.80,5.95,1.53
Triveni Engg,373.40,362.90,368.45,362.90,5.55,1.53
Hind Copper,276.00,268.60,273.80,269.75,4.05,1.5
Poonawalla Fin,465.90,453.50,458.85,452.20,6.65,1.47
Timken,"3,510.00","3,396.00","3,492.80","3,445.00",47.8,1.39
Inox Wind,167.31,162.50,166.85,164.58,2.27,1.38
Zen Tech,"1,909.90","1,838.00","1,905.90","1,880.10",25.8,1.37
Concord Biotech,"1,948.20","1,877.70","1,919.70","1,893.90",25.8,1.36
Bajaj Holdings,"14,100.00","13,763.00","14,035.00","13,848.00",187,1.35
Prestige Estate,"1,809.00","1,774.30","1,806.10","1,782.20",23.9,1.34
Bharat Elec,400.95,391.10,399.95,394.75,5.2,1.32
Exide Ind,392.15,383.55,389.10,384.05,5.05,1.31
CenturyPlyboard,731.60,711.20,729.75,720.35,9.4,1.3
AAVAS Financier,"1,942.50","1,885.30","1,928.20","1,903.70",24.5,1.29
