company_name,high,low,last_price,prev_close,change,percent_gain
Chennai Petro,532.80,480.00,527.05,471.30,55.75,11.83
Godawari Power,189.69,165.99,182.21,163.73,18.48,11.29
Godawari Power,189.69,165.99,182.21,163.73,18.48,11.29
Castrol,251.95,228.33,245.88,222.33,23.55,10.59
Jyoti CNC Auto,927.70,832.90,911.65,833.30,78.35,9.4
Jindal Saw,275.00,252.00,272.70,250.36,22.34,8.92
Jindal Saw,275.00,252.00,272.70,250.36,22.34,8.92
CreditAccess Gr,"1,021.95",923.85,985.00,920.25,64.75,7.04
Triveni Turbine,546.75,512.20,535.75,500.75,35.00,6.99
JSW Infra,271.80,254.00,268.55,251.80,16.75,6.65
MRPL,114.71,107.69,113.10,106.29,6.81,6.41
Jindal Stainles,656.00,622.65,651.90,613.45,38.45,6.27
Amber Enterpris,"6,350.00","5,862.05","6,174.90","5,812.05",362.85,6.24
Kirloskar Oil,642.30,600.50,637.65,601.70,35.95,5.97
Ujjivan Small,34.62,32.38,33.89,32.07,1.82,5.68
Grindwell Norto,"1,598.55","1,506.05","1,579.15","1,495.25",83.90,5.61
CHEMPLAST SANMA,455.00,420.05,446.80,423.70,23.10,5.45
Sapphire Foods,346.00,312.80,326.30,310.10,16.20,5.22
Sapphire Foods,346.00,312.80,326.30,310.10,16.20,5.22
UTI AMC,989.95,937.55,978.65,930.55,48.10,5.17
Varroc Engineer,457.20,427.95,446.85,425.35,21.50,5.05
Godfrey Phillip,"5,418.60","5,181.20","5,418.60","5,160.60",258.00,5
PTC Industries,"11,909.10","11,909.10","11,909.10","11,342.00",567.10,5
Radico Khaitan,"2,240.45","2,105.00","2,209.25","2,105.15",104.10,4.95
Graphite India,413.00,393.00,410.90,391.95,18.95,4.83
Global Health,"1,259.90","1,201.10","1,252.95","1,195.55",57.40,4.8
Asian Paints,"2,275.00","2,183.10","2,267.70","2,164.15",103.55,4.78
Caplin Labs,"1,959.00","1,860.00","1,933.65","1,845.65",88.00,4.77
Easy Trip,12.45,11.85,12.34,11.78,0.56,4.75
Easy Trip,12.45,11.85,12.34,11.78,0.56,4.75
Poly Medicure,"2,335.20","2,231.00","2,320.30","2,215.25",105.05,4.74
Zensar Tech,756.95,726.30,751.60,718.85,32.75,4.56
Jubilant Ing.,665.00,630.00,658.30,629.70,28.60,4.54
DOMS Industries,"2,739.05","2,600.00","2,729.90","2,611.90",118.00,4.52
Inox India,"1,042.00",984.10,"1,027.30",983.50,43.80,4.45
RHI Magnesita,434.40,404.25,421.45,403.50,17.95,4.45
CenturyPlyboard,739.95,710.90,735.95,704.90,31.05,4.4
Mahanagar Gas,"1,339.95","1,285.35","1,336.50","1,280.40",56.10,4.38
MMTC Ltd,55.90,52.50,54.06,51.82,2.24,4.32
Just Dial,870.40,835.10,863.55,829.20,34.35,4.14
SUMITOMO,504.90,480.50,500.15,480.25,19.90,4.14
TBO Tek,"1,390.00","1,305.85","1,362.50","1,308.85",53.65,4.1
HINDPETRO,342.40,331.80,339.15,326.15,13.00,3.99
Godrej Consumer,"1,037.75",998.00,"1,030.30",991.35,38.95,3.93
Coal India,384.15,368.10,382.60,368.25,14.35,3.9
IIFL Finance,327.70,314.85,325.85,313.70,12.15,3.87
Guj Amb Exports,109.48,105.23,109.00,105.02,3.98,3.79
Dr Lal PathLab,"2,525.00","2,423.00","2,518.40","2,427.30",91.10,3.75
Hindalco,687.60,661.85,681.95,657.35,24.60,3.74
Hind Zinc,429.35,416.25,426.10,411.25,14.85,3.61
BPCL,265.95,259.00,265.04,255.84,9.20,3.6
NTPC,338.80,323.20,337.90,326.20,11.70,3.59
Raymond,"1,375.00","1,320.00","1,357.75","1,310.75",47.00,3.59
Endurance Techn,"1,865.00","1,789.95","1,850.80","1,787.45",63.35,3.54
eClerx Services,"2,819.00","2,669.05","2,787.45","2,692.70",94.75,3.52
Guj Mineral,262.40,252.80,257.53,248.79,8.74,3.51
KPIT Tech,"1,331.45","1,290.05","1,326.80","1,281.75",45.05,3.51
PI Industries,"3,265.25","3,148.05","3,255.60","3,145.35",110.25,3.51
Krishna Inst.,530.30,509.50,525.95,508.45,17.50,3.44
Krishna Inst.,530.30,509.50,525.95,508.45,17.50,3.44
Berger Paints,503.45,487.85,500.60,484.00,16.60,3.43
HEG,393.00,374.00,384.55,371.90,12.65,3.4
HEG,393.00,374.00,384.55,371.90,12.65,3.4
Gland,"1,636.80","1,589.95","1,629.95","1,576.60",53.35,3.38
Welspun Corp,791.95,758.50,783.45,757.85,25.60,3.38
CAMS,"3,322.00","3,210.50","3,302.65","3,195.30",107.35,3.36
Adani Energy,746.60,707.60,733.25,709.45,23.80,3.35
Ratnamani Metal,"2,769.45","2,557.05","2,631.10","2,546.20",84.90,3.33
Route,"1,120.00","1,025.00","1,034.40","1,001.15",33.25,3.32
NLC India,237.31,221.11,229.70,222.33,7.37,3.31
Vedanta,446.85,431.25,442.95,428.95,14.00,3.26
CDSL,"1,185.55","1,142.45","1,175.90","1,139.00",36.90,3.24
Varun Beverages,494.95,477.85,491.35,476.00,15.35,3.22
Varun Beverages,494.95,477.85,491.35,476.00,15.35,3.22
Varun Beverages,494.95,477.85,491.35,476.00,15.35,3.22
Vijaya Diagnost,"1,105.00","1,006.15","1,054.95","1,022.15",32.80,3.21
