company_name,high,low,last_price,prev_close,change,percent_gain
MRPL,161.00,134.25,160.60,134.20,26.40,19.67
Easy Trip,52.80,44.70,51.80,44.25,7.55,17.06
Easy Trip,52.80,44.70,51.80,44.25,7.55,17.06
Engineers India,218.80,197.35,216.40,197.05,19.35,9.82
Network 18,135.00,120.35,130.95,119.40,11.55,9.67
Motilal Oswal,"1,547.00","1,406.40","1,524.60","1,406.35",118.25,8.41
Avanti Feeds,499.95,456.00,489.85,453.80,36.05,7.94
Solar Ind,"7,366.90","6,844.05","7,347.05","6,875.75",471.30,6.85
Shriram Finance,"2,289.85","2,204.00","2,279.75","2,150.00",129.75,6.03
APTUS VALUE,349.70,326.15,344.05,325.05,19.00,5.85
Restaurant Bran,125.00,116.80,123.40,116.60,6.80,5.83
Gujarat Pipavav,168.95,157.70,165.10,156.75,8.35,5.33
Jamna Auto,114.70,108.00,113.30,107.70,5.60,5.2
Mahanagar Gas,"1,246.15","1,180.95","1,240.10","1,179.60",60.50,5.13
Ajanta Pharma,"2,245.90","2,103.05","2,220.70","2,112.65",108.05,5.11
ICICI Securitie,789.95,742.15,781.25,743.25,38.00,5.11
Global Health,"1,074.45",993.45,"1,045.70",995.15,50.55,5.08
Gujarat Gas,547.85,512.25,541.10,515.20,25.90,5.03
Hero Motocorp,"4,395.00","4,162.00","4,342.20","4,138.05",204.15,4.93
Torrent Pharma,"2,476.50","2,359.30","2,468.95","2,352.90",116.05,4.93
Just Dial,944.40,853.10,880.70,839.90,40.80,4.86
Sterling Wilson,469.75,451.70,469.00,447.40,21.60,4.83
Tata Inv Corp,"4,532.95","4,289.00","4,480.35","4,277.00",203.35,4.75
Rattanindia Ent,86.50,81.70,85.35,81.55,3.80,4.66
Gujarat Fluoro,"3,550.00","3,370.00","3,528.50","3,371.95",156.55,4.64
Alembic Pharma,842.90,802.00,836.50,800.20,36.30,4.54
Nazara,907.00,861.00,902.55,865.05,37.50,4.34
Voltas,"1,060.00","1,011.95","1,055.70","1,012.15",43.55,4.3
IIFL Finance,660.90,630.00,653.65,626.90,26.75,4.27
AB Capital,181.00,174.05,180.55,173.30,7.25,4.18
RBL Bank,300.70,284.55,295.00,283.55,11.45,4.04
Craftsman,"4,994.95","4,869.30","4,986.30","4,793.00",193.30,4.03
Indiabulls Hsg,227.95,216.50,224.70,216.05,8.65,4
JK Lakshmi Cem,886.00,839.85,873.90,841.95,31.95,3.79
KRBL,385.95,367.50,382.50,368.55,13.95,3.79
Timken,"3,387.00","3,240.55","3,362.55","3,240.55",122.00,3.76
Syngene Intl,745.00,716.75,742.50,715.85,26.65,3.72
IRFC,109.30,104.25,106.85,103.05,3.80,3.69
Manappuram Fin,176.75,169.10,174.25,168.05,6.20,3.69
Bajaj Auto,"7,324.90","7,075.00","7,298.85","7,053.75",245.10,3.47
HINDPETRO,447.45,433.45,445.50,430.70,14.80,3.44
JSW Energy,484.00,455.60,480.70,464.80,15.90,3.42
Exide Ind,340.00,327.70,338.85,327.80,11.05,3.37
Nippon,502.10,486.70,500.25,484.05,16.20,3.35
TVS Motor,"2,095.50","2,023.30","2,087.35","2,020.25",67.10,3.32
MCX India,"3,169.80","3,075.00","3,162.40","3,061.55",100.85,3.29
Bombay Burmah,"1,657.40","1,560.30","1,625.25","1,573.60",51.65,3.28
IDFC First Bank,86.90,83.90,86.65,83.90,2.75,3.28
Aditya Birla F,235.95,227.25,233.95,226.75,7.20,3.18
IDFC,125.25,121.60,124.80,121.00,3.80,3.14
M&M Financial,279.65,271.20,277.65,269.20,8.45,3.14
Tata Power,360.00,347.85,357.30,346.45,10.85,3.13
Home First,983.80,935.10,971.65,942.55,29.10,3.09
Abbott India,"25,388.50","24,465.10","25,339.65","24,609.25",730.40,2.97
Aegis Logistics,367.00,353.90,365.55,355.10,10.45,2.94
TCNS Clothing C,398.95,384.00,393.90,382.65,11.25,2.94
Vardhman Text,404.40,388.00,399.20,387.85,11.35,2.93
Brightcom Group,21.75,20.75,21.15,20.55,0.60,2.92
Vaibhav Global,417.80,398.50,408.95,397.35,11.60,2.92
NLC India,238.00,228.65,236.95,230.30,6.65,2.89
Havells India,"1,472.00","1,399.20","1,430.10","1,390.70",39.40,2.83
Vedanta,276.00,266.55,274.60,267.05,7.55,2.83
Kalyan Jeweller,393.00,380.75,390.70,380.15,10.55,2.78
Zomato,139.00,135.05,138.35,134.65,3.70,2.75
Aarti Ind,622.55,606.00,620.00,603.60,16.40,2.72
Blue Star,"1,001.20",968.00,996.00,969.95,26.05,2.69
Five-Star Busin,748.80,724.95,744.85,725.55,19.30,2.66
C. E. Info Syst,"2,039.40","1,964.05","2,019.90","1,968.15",51.75,2.63
Reliance,"2,725.00","2,657.00","2,719.80","2,650.10",69.70,2.63
Rashtriya Chem,172.55,166.30,170.20,165.90,4.30,2.59
Dixon Technolog,"6,508.00","6,338.55","6,488.65","6,326.95",161.70,2.56
Gland,"1,978.00","1,908.70","1,957.15","1,908.70",48.45,2.54
IFB Industries,"1,010.00",982.30,"1,004.15",979.25,24.90,2.54
Ipca Labs,"1,148.80","1,119.10","1,144.35","1,116.25",28.10,2.52
Narayana Hruda,"1,277.50","1,241.15","1,271.05","1,239.90",31.15,2.51
SJVN,93.70,90.90,93.15,90.90,2.25,2.48
Colgate,"2,499.00","2,397.10","2,455.40","2,396.25",59.15,2.47
Oil India,375.65,362.40,373.75,364.80,8.95,2.45
HLE Glascoat,568.50,554.00,561.50,548.15,13.35,2.44
HLE Glascoat,568.50,554.00,561.50,548.15,13.35,2.44
HDFC AMC,"3,542.50","3,413.10","3,501.70","3,418.90",82.80,2.42
Bank of India,121.85,120.20,121.00,118.20,2.80,2.37
HUDCO,131.75,124.05,126.85,123.95,2.90,2.34
Keystone Real,714.30,689.25,709.00,692.90,16.10,2.32
PNC Infratech,380.75,371.00,376.55,368.05,8.50,2.31
Ambuja Cements,541.95,525.40,538.25,526.15,12.10,2.3
Clean Science,"1,539.90","1,493.00","1,529.35","1,497.40",31.95,2.13
Guj Alkali,794.90,771.55,791.25,774.90,16.35,2.11
Poonawalla Fin,495.85,483.00,491.40,481.35,10.05,2.09
IOC,133.90,131.10,133.25,130.55,2.70,2.07
Max Financial,952.95,928.35,949.65,930.35,19.30,2.07
Bosch,"23,265.55","22,615.20","23,081.30","22,615.20",466.10,2.06
eClerx Services,"2,654.00","2,579.05","2,635.90","2,584.15",51.75,2
Piramal Enter,943.90,923.40,940.10,921.65,18.45,2
KFin Tech,531.00,520.00,530.05,520.00,10.05,1.93
Fortis Health,435.60,420.50,432.30,424.30,8.00,1.89
Container Corp,916.50,890.00,902.85,886.30,16.55,1.87
Sterlite Techno,150.70,144.45,147.15,144.45,2.70,1.87
Ceat,"2,514.40","2,462.00","2,496.95","2,451.40",45.55,1.86
LIC Housing Fin,588.00,568.05,578.20,567.75,10.45,1.84
Coromandel Int,"1,193.05","1,166.70","1,187.95","1,166.65",21.30,1.83
Chalet Hotels,754.05,728.55,749.20,735.75,13.45,1.83
Karur Vysya,168.50,164.50,168.10,165.10,3.00,1.82
Hikal,312.00,295.10,302.45,297.10,5.35,1.8
IGL,426.50,415.70,425.15,417.80,7.35,1.76
FDC,412.95,402.60,411.00,403.95,7.05,1.75
IEX,167.90,165.00,166.90,164.05,2.85,1.74
Oberoi Realty,"1,561.90","1,522.25","1,548.30","1,522.10",26.20,1.72
Godrej Prop,"2,260.00","2,211.00","2,248.80","2,210.90",37.90,1.71
