company_name,high,low,last_price,prev_close,change,percent_gain
Metropolis,"2,110.90","1,866.60","2,057.90","1,866.00",191.90,10.28
Sterling Wilson,333.00,307.60,331.45,305.35,26.10,8.55
PG Electroplast,796.90,740.00,788.75,740.50,48.25,6.52
PG Electroplast,796.90,740.00,788.75,740.50,48.25,6.52
Niva Bupa Healt,89.50,83.63,89.14,83.77,5.37,6.41
Emami,620.00,570.60,609.15,573.60,35.55,6.2
Syrma SGS,663.10,621.50,649.65,615.15,34.50,5.61
FSN E-Co Nykaa,214.94,201.91,213.37,202.59,10.78,5.32
Garden Reach Sh,"2,998.70","2,837.00","2,981.30","2,833.90",147.40,5.2
Swan Energy,465.00,438.55,462.70,440.15,22.55,5.12
Global Health,"1,328.80","1,210.00","1,278.70","1,218.10",60.60,4.97
Transformers,534.00,488.00,517.05,492.80,24.25,4.92
PCBL Chemical,433.20,402.40,423.70,404.35,19.35,4.79
Coromandel Int,"2,311.50","2,204.00","2,302.40","2,207.60",94.80,4.29
RBL Bank,261.62,249.96,260.61,249.95,10.66,4.26
MRF,"151,900.00","144,000.00","150,715.00","144,945.00","5,770.00",3.98
Hitachi Energy,"19,990.00","18,960.00","19,865.00","19,115.00",750.00,3.92
Mankind Pharma,"2,543.60","2,417.60","2,526.60","2,431.70",94.90,3.9
Wockhardt,"1,731.30","1,651.80","1,717.00","1,657.80",59.20,3.57
IEX,211.75,199.05,207.96,200.99,6.97,3.47
Himadri Special,518.75,493.20,509.95,493.00,16.95,3.44
Natco Pharma,"1,027.00",972.35,"1,017.75",984.95,32.80,3.33
BEML,"4,685.00","4,527.70","4,667.40","4,523.90",143.50,3.17
Elecon Eng,665.00,636.30,660.35,640.25,20.10,3.14
Elecon Eng,665.00,636.30,660.35,640.25,20.10,3.14
Godfrey Phillip,"8,540.00","8,138.50","8,501.50","8,244.50",257.00,3.12
PVR INOX,"1,010.50",968.00,"1,001.80",971.75,30.05,3.09
Sagility India,43.20,41.61,42.88,41.60,1.28,3.08
Delhivery,424.10,409.15,421.30,408.80,12.50,3.06
RHI Magnesita,498.00,467.00,479.90,465.70,14.20,3.05
Elgi Equipments,568.00,540.20,550.30,534.10,16.20,3.03
Brainbees Solu,387.05,370.30,383.50,372.50,11.00,2.95
Dr Lal PathLab,"2,992.00","2,896.90","2,963.70","2,880.00",83.70,2.91
Container Corp,616.50,594.85,615.35,598.35,17.00,2.84
Chola Invest.,"1,570.00","1,518.00","1,563.10","1,521.70",41.40,2.72
KFin Tech,"1,314.20","1,258.00","1,306.90","1,273.30",33.60,2.64
Craftsman,"6,025.50","5,831.50","5,989.50","5,843.50",146.00,2.5
LT Foods,497.70,476.80,493.95,481.90,12.05,2.5
Castrol,223.60,218.50,223.25,217.98,5.27,2.42
Amber Enterpris,"7,719.00","7,450.00","7,691.50","7,510.50",181.00,2.41
ICICI Prudentia,683.40,661.00,680.35,664.55,15.80,2.38
SBFC Finance,113.97,110.65,113.41,110.79,2.62,2.36
Welspun Corp,942.00,918.70,936.15,914.90,21.25,2.32
Endurance Techn,"2,697.00","2,611.00","2,681.50","2,622.40",59.10,2.25
Sammaan Capital,129.75,122.50,127.90,125.08,2.82,2.25
Neuland Lab,"12,480.00","11,700.00","11,968.00","11,706.00",262.00,2.24
Sarda Energy,437.00,423.20,433.20,423.90,9.30,2.19
Sarda Energy,437.00,423.20,433.20,423.90,9.30,2.19
Apar Ind,"8,880.50","8,586.50","8,808.00","8,620.00",188.00,2.18
Indegene,576.70,561.80,574.15,562.10,12.05,2.14
KEC Intl,904.65,882.55,897.40,878.65,18.75,2.13
Laurus Labs,797.80,775.15,794.40,778.30,16.10,2.07
Kaynes Tech,"6,238.00","6,070.00","6,123.00","6,007.00",116.00,1.93
Bandhan Bank,178.50,175.00,178.02,174.70,3.32,1.9
BSE Limited,"2,550.00","2,485.50","2,523.80","2,477.00",46.80,1.89
Kirloskar Bros,"2,257.80","2,196.00","2,237.40","2,196.90",40.50,1.84
Engineers India,250.40,240.83,246.01,241.62,4.39,1.82
Shriram Finance,683.00,671.00,681.05,668.95,12.10,1.81
Shriram Finance,683.00,671.00,681.05,668.95,12.10,1.81
ACME Solar,271.60,258.33,262.95,258.33,4.62,1.79
AstraZeneca,"9,339.00","9,091.00","9,288.50","9,127.00",161.50,1.77
Dabur India,523.45,511.00,522.15,513.10,9.05,1.76
Hyundai Motor,"2,098.00","2,048.70","2,091.00","2,055.10",35.90,1.75
GMR Airports,93.96,91.44,92.80,91.24,1.56,1.71
SBI Card,938.50,920.05,934.50,918.75,15.75,1.71
Vijaya Diagnost,"1,050.50","1,001.50","1,018.95","1,002.00",16.95,1.69
Saregama India,504.00,491.50,502.25,493.95,8.30,1.68
CAMS,"4,201.40","4,111.40","4,190.80","4,121.80",69.00,1.67
NAVA,611.95,588.90,595.60,585.80,9.80,1.67
Premier Energie,"1,094.00","1,053.60","1,074.10","1,056.60",17.50,1.66
RamkrishnaForge,668.15,652.95,663.15,652.35,10.80,1.66
Varun Beverages,469.50,463.10,465.75,458.15,7.60,1.66
Varun Beverages,469.50,463.10,465.75,458.15,7.60,1.66
Varun Beverages,469.50,463.10,465.75,458.15,7.60,1.66
Waaree Energies,"3,159.10","3,046.00","3,119.50","3,068.60",50.90,1.66
APTUS VALUE,342.00,333.10,340.50,335.00,5.50,1.64
Nippon,810.80,782.75,801.00,788.10,12.90,1.64
Bata India,"1,268.50","1,238.40","1,265.20","1,244.90",20.30,1.63
Westlife Food,819.20,779.90,807.85,795.10,12.75,1.6
Angel One,"2,748.00","2,695.00","2,735.40","2,692.60",42.80,1.59
Timken,"3,390.00","3,299.40","3,361.30","3,308.80",52.50,1.59
BHEL,265.35,257.80,262.05,258.10,3.95,1.53
Dixon Technolog,"15,860.00","15,532.00","15,710.00","15,473.00",237.00,1.53
J. K. Cement,"6,420.50","6,261.50","6,392.50","6,297.50",95.00,1.51
Concord Biotech,"1,874.70","1,777.10","1,819.90","1,793.00",26.90,1.5
Rattanindia Ent,69.70,63.65,64.99,64.03,0.96,1.5
GlaxoSmithKline,"3,344.00","3,266.10","3,309.00","3,260.70",48.30,1.48
Honasa Consumer,302.45,297.10,301.70,297.30,4.40,1.48
Indian Hotels,753.90,737.35,750.15,739.30,10.85,1.47
City Union Bank,220.00,213.58,218.38,215.23,3.15,1.46
IIFL Finance,510.00,499.40,508.55,501.25,7.30,1.46
Radico Khaitan,"2,680.50","2,635.00","2,675.90","2,637.40",38.50,1.46
Amara Raja,981.00,961.80,978.40,964.60,13.80,1.43
Bajaj Finance,946.00,924.00,940.60,927.65,12.95,1.4
Navin Fluorine,"5,120.00","4,881.40","5,110.00","5,040.10",69.90,1.39
Patanjali Foods,"1,666.90","1,630.10","1,660.60","1,638.20",22.40,1.37
Chalet Hotels,876.45,857.40,870.95,859.30,11.65,1.36
Inox India,"1,250.00","1,222.00","1,241.50","1,224.80",16.70,1.36
Indiamart Inter,"2,606.90","2,559.60","2,587.70","2,553.60",34.10,1.34
Cummins,"3,555.00","3,478.90","3,523.90","3,478.00",45.90,1.32
MRPL,150.90,144.31,146.74,144.83,1.91,1.32
